"year","age_group","sex","road_user","Sum(hospitalisations)"
2011,"8-16","Female","Heavy transport unknown position",2
2011,"8-16","Female","Motorcyclist",44
2011,"8-16","Female","Other or unknown",8
2011,"8-16","Female","Pedal cyclist",163
2011,"8-16","Female","Pedestrian",150
2011,"8-16","Female","Pick-up truck or van occupant",5
2011,"8-16","Male","Bus occupant",6
2011,"8-16","Male","Car driver",45
2011,"8-16","Male","Car passenger",282
2011,"8-16","Male","Car unknown position",23
2011,"8-16","Male","Heavy transport passenger",3
2011,"8-16","Male","Motorcyclist",430
2011,"8-16","Male","Other or unknown",27
2011,"8-16","Male","Pedal cyclist",698
2011,"8-16","Male","Pedestrian",223
2011,"8-16","Male","Pick-up truck or van occupant",4
2012,"0-7","Female","Bus occupant",4
2012,"0-7","Female","Car driver",2
2012,"0-7","Female","Car passenger",152
2012,"0-7","Female","Car unknown position",8
2012,"0-7","Female","Heavy transport passenger",1
2012,"0-7","Female","Motorcyclist",9
2012,"0-7","Female","Other or unknown",5
2012,"0-7","Female","Pedal cyclist",61
2012,"0-7","Female","Pedestrian",49
2012,"0-7","Female","Pick-up truck or van occupant",2
2012,"0-7","Male","Bus occupant",5
2012,"0-7","Male","Car driver",0
2012,"0-7","Male","Car passenger",156
2012,"0-7","Male","Car unknown position",6
2012,"0-7","Male","Heavy transport passenger",1
2012,"0-7","Male","Motorcyclist",38
2012,"0-7","Male","Other or unknown",13
2012,"0-7","Male","Pedal cyclist",141
2012,"0-7","Male","Pedestrian",95
2012,"0-7","Male","Pick-up truck or van occupant",2
2012,"17-25","Female","Bus occupant",6
2012,"17-25","Female","Car driver",1292
2012,"17-25","Female","Car passenger",645
2012,"17-25","Female","Car unknown position",97
2012,"17-25","Female","Heavy transport driver",1
2012,"17-25","Female","Heavy transport passenger",1
2012,"17-25","Female","Motorcyclist",179
2012,"17-25","Female","Other or unknown",42
2012,"17-25","Female","Pedal cyclist",128
2012,"17-25","Female","Pedestrian",188
2012,"17-25","Female","Pick-up truck or van occupant",10
2012,"17-25","Male","Bus occupant",5
2012,"17-25","Male","Car driver",1538
2012,"17-25","Male","Car passenger",739
2012,"17-25","Male","Car unknown position",164
2012,"17-25","Male","Heavy transport driver",28
2012,"17-25","Male","Heavy transport passenger",13
2012,"17-25","Male","Heavy transport unknown position",4
2012,"17-25","Male","Motorcyclist",1898
2012,"17-25","Male","Other or unknown",77
2012,"17-25","Male","Pedal cyclist",603
2012,"17-25","Male","Pedestrian",314
2012,"17-25","Male","Pick-up truck or van occupant",63
2012,"26-39","Female","Bus occupant",15
2012,"26-39","Female","Car driver",1219
2012,"26-39","Female","Car passenger",473
2012,"26-39","Female","Car unknown position",86
2012,"26-39","Female","Heavy transport driver",4
2012,"26-39","Female","Heavy transport passenger",2
2012,"26-39","Female","Motorcyclist",197
2012,"26-39","Female","Other or unknown",35
2012,"26-39","Female","Pedal cyclist",292
2012,"26-39","Female","Pedestrian",197
2012,"26-39","Female","Pick-up truck or van occupant",15
2012,"26-39","Male","Bus occupant",14
2012,"26-39","Male","Car driver",1517
2012,"26-39","Male","Car passenger",411
