Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Road user,Hospitalisations,Bed days excluding died in hospitals within 30 days
2013,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,6,19
2013,Jan-Jun,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2013,Jan-Jun,Traffic,First Nations people,Other or unknown,13,32
2013,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",7495,29638
2013,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,3655,17235
2013,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3020,8615
2013,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1170,7487
2013,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2013,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,113,662
2013,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2013,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,238,976
2013,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",401,2154
2013,Jul-Dec,Traffic,First Nations people,Motorcyclist,141,762
2013,Jul-Dec,Traffic,First Nations people,Pedal cyclist,81,171
2013,Jul-Dec,Traffic,First Nations people,Pedestrian,76,697
2013,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",10,29
2013,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2013,Jul-Dec,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2013,Jul-Dec,Traffic,First Nations people,Other or unknown,12,62
2013,Jul-Dec,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",7944,29950
2013,Jul-Dec,Traffic,Non-Indigenous,Motorcyclist,3962,17868
2013,Jul-Dec,Traffic,Non-Indigenous,Pedal cyclist,2965,7929
2013,Jul-Dec,Traffic,Non-Indigenous,Pedestrian,1239,8720
2013,Jul-Dec,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",243,1150
2013,Jul-Dec,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2013,Jul-Dec,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2013,Jul-Dec,Traffic,Non-Indigenous,Other or unknown,266,1401
2014,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",374,1893
2014,Jan-Jun,Traffic,First Nations people,Motorcyclist,137,662
2014,Jan-Jun,Traffic,First Nations people,Pedal cyclist,95,322
2014,Jan-Jun,Traffic,First Nations people,Pedestrian,87,744
2014,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",8,80
2014,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2014,Jan-Jun,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2014,Jan-Jun,Traffic,First Nations people,Other or unknown,22,37
