calendar year,6-monthly,cause of injury = traffic,counterparty,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2012,Jan-Jun,Traffic,Fixed or stationary object,156,1045,SA
2012,Jan-Jun,Traffic,Non-collision transport accident,321,1128,SA
2012,Jan-Jun,Traffic,Other,185,1279,SA
2012,Jan-Jun,Traffic,"Car, pick-up truck or van",89,658,Tas
2012,Jan-Jun,Traffic,Fixed or stationary object,35,185,Tas
2012,Jan-Jun,Traffic,Non-collision transport accident,101,559,Tas
2012,Jan-Jun,Traffic,Other,46,296,Tas
2012,Jan-Jun,Traffic,"Car, pick-up truck or van",127,561,ACT
2012,Jan-Jun,Traffic,Fixed or stationary object,40,252,ACT
2012,Jan-Jun,Traffic,Non-collision transport accident,107,316,ACT
2012,Jan-Jun,Traffic,Other,39,152,ACT
2012,Jan-Jun,Traffic,"Car, pick-up truck or van",62,430,NT
2012,Jan-Jun,Traffic,Fixed or stationary object,23,150,NT
2012,Jan-Jun,Traffic,Non-collision transport accident,86,573,NT
2012,Jan-Jun,Traffic,Other,44,143,NT
2012,Jul-Dec,Traffic,"Car, pick-up truck or van",2429,12090,NSW
2012,Jul-Dec,Traffic,Fixed or stationary object,848,4415,NSW
2012,Jul-Dec,Traffic,Non-collision transport accident,1311,4599,NSW
2012,Jul-Dec,Traffic,Other,1103,5169,NSW
2012,Jul-Dec,Traffic,"Car, pick-up truck or van",1601,6550,Vic
2012,Jul-Dec,Traffic,Fixed or stationary object,514,2563,Vic
2012,Jul-Dec,Traffic,Non-collision transport accident,682,2400,Vic
2012,Jul-Dec,Traffic,Other,632,2725,Vic
2012,Jul-Dec,Traffic,"Car, pick-up truck or van",1253,6544,Qld
2012,Jul-Dec,Traffic,Fixed or stationary object,534,2623,Qld
2012,Jul-Dec,Traffic,Non-collision transport accident,1082,3793,Qld
2012,Jul-Dec,Traffic,Other,778,3138,Qld
2012,Jul-Dec,Traffic,"Car, pick-up truck or van",635,3413,WA
2012,Jul-Dec,Traffic,Fixed or stationary object,222,1577,WA
2012,Jul-Dec,Traffic,Non-collision transport accident,573,2653,WA
2012,Jul-Dec,Traffic,Other,371,1436,WA
2012,Jul-Dec,Traffic,"Car, pick-up truck or van",466,2804,SA
2012,Jul-Dec,Traffic,Fixed or stationary object,200,1168,SA
2012,Jul-Dec,Traffic,Non-collision transport accident,352,1643,SA
2012,Jul-Dec,Traffic,Other,186,721,SA
2012,Jul-Dec,Traffic,"Car, pick-up truck or van",79,548,Tas
2012,Jul-Dec,Traffic,Fixed or stationary object,37,184,Tas
2012,Jul-Dec,Traffic,Non-collision transport accident,92,246,Tas
2012,Jul-Dec,Traffic,Other,57,172,Tas
2012,Jul-Dec,Traffic,"Car, pick-up truck or van",96,432,ACT
2012,Jul-Dec,Traffic,Fixed or stationary object,37,144,ACT
2012,Jul-Dec,Traffic,Non-collision transport accident,100,202,ACT
2012,Jul-Dec,Traffic,Other,55,207,ACT
2012,Jul-Dec,Traffic,"Car, pick-up truck or van",57,502,NT
2012,Jul-Dec,Traffic,Fixed or stationary object,29,225,NT
2012,Jul-Dec,Traffic,Non-collision transport accident,130,519,NT
2012,Jul-Dec,Traffic,Other,65,413,NT
2013,Jan-Jun,Traffic,"Car, pick-up truck or van",2373,10331,NSW
2013,Jan-Jun,Traffic,Fixed or stationary object,775,4135,NSW
2013,Jan-Jun,Traffic,Non-collision transport accident,1343,4511,NSW
2013,Jan-Jun,Traffic,Other,977,3908,NSW
2013,Jan-Jun,Traffic,"Car, pick-up truck or van",1723,6652,Vic
2013,Jan-Jun,Traffic,Fixed or stationary object,564,3084,Vic
2013,Jan-Jun,Traffic,Non-collision transport accident,899,2749,Vic
2013,Jan-Jun,Traffic,Other,712,2831,Vic
2013,Jan-Jun,Traffic,"Car, pick-up truck or van",1306,5441,Qld
2013,Jan-Jun,Traffic,Fixed or stationary object,497,2128,Qld
2013,Jan-Jun,Traffic,Non-collision transport accident,1133,3588,Qld
2013,Jan-Jun,Traffic,Other,783,2934,Qld
2013,Jan-Jun,Traffic,"Car, pick-up truck or van",638,3324,WA
2013,Jan-Jun,Traffic,Fixed or stationary object,247,1492,WA
2013,Jan-Jun,Traffic,Non-collision transport accident,523,2159,WA
2013,Jan-Jun,Traffic,Other,394,1502,WA
2013,Jan-Jun,Traffic,"Car, pick-up truck or van",385,2148,SA
2013,Jan-Jun,Traffic,Fixed or stationary object,183,1182,SA
2013,Jan-Jun,Traffic,Non-collision transport accident,332,1360,SA
2013,Jan-Jun,Traffic,Other,163,1021,SA
2013,Jan-Jun,Traffic,"Car, pick-up truck or van",92,596,Tas
2013,Jan-Jun,Traffic,Fixed or stationary object,58,302,Tas
2013,Jan-Jun,Traffic,Non-collision transport accident,84,315,Tas
2013,Jan-Jun,Traffic,Other,44,171,Tas
2013,Jan-Jun,Traffic,"Car, pick-up truck or van",101,623,ACT
2013,Jan-Jun,Traffic,Fixed or stationary object,33,231,ACT
2013,Jan-Jun,Traffic,Non-collision transport accident,108,352,ACT
2013,Jan-Jun,Traffic,Other,66,315,ACT
