calendar year,6-monthly,cause of injury = traffic,counterparty,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2017,Jan-Jun,Traffic,Other,59,322,Tas
2017,Jan-Jun,Traffic,"Car, pick-up truck or van",114,420,ACT
2017,Jan-Jun,Traffic,Fixed or stationary object,29,118,ACT
2017,Jan-Jun,Traffic,Non-collision transport accident,132,358,ACT
2017,Jan-Jun,Traffic,Other,62,278,ACT
2017,Jan-Jun,Traffic,"Car, pick-up truck or van",107,729,NT
2017,Jan-Jun,Traffic,Fixed or stationary object,46,191,NT
2017,Jan-Jun,Traffic,Non-collision transport accident,99,612,NT
2017,Jan-Jun,Traffic,Other,44,135,NT
2017,Jul-Dec,Traffic,"Car, pick-up truck or van",2454,15541,NSW
2017,Jul-Dec,Traffic,Fixed or stationary object,740,4905,NSW
2017,Jul-Dec,Traffic,Non-collision transport accident,1310,5539,NSW
2017,Jul-Dec,Traffic,Other,912,5172,NSW
2017,Jul-Dec,Traffic,"Car, pick-up truck or van",2614,15871,Vic
2017,Jul-Dec,Traffic,Fixed or stationary object,775,5970,Vic
2017,Jul-Dec,Traffic,Non-collision transport accident,1111,4218,Vic
2017,Jul-Dec,Traffic,Other,846,5076,Vic
2017,Jul-Dec,Traffic,"Car, pick-up truck or van",1872,8847,Qld
2017,Jul-Dec,Traffic,Fixed or stationary object,665,3033,Qld
2017,Jul-Dec,Traffic,Non-collision transport accident,1337,4827,Qld
2017,Jul-Dec,Traffic,Other,840,3415,Qld
2017,Jul-Dec,Traffic,"Car, pick-up truck or van",543,3602,WA
2017,Jul-Dec,Traffic,Fixed or stationary object,225,2056,WA
2017,Jul-Dec,Traffic,Non-collision transport accident,478,2035,WA
2017,Jul-Dec,Traffic,Other,333,1314,WA
2017,Jul-Dec,Traffic,"Car, pick-up truck or van",382,2708,SA
2017,Jul-Dec,Traffic,Fixed or stationary object,191,1399,SA
2017,Jul-Dec,Traffic,Non-collision transport accident,308,1334,SA
2017,Jul-Dec,Traffic,Other,200,1412,SA
2017,Jul-Dec,Traffic,"Car, pick-up truck or van",113,1035,Tas
2017,Jul-Dec,Traffic,Fixed or stationary object,57,307,Tas
2017,Jul-Dec,Traffic,Non-collision transport accident,107,392,Tas
2017,Jul-Dec,Traffic,Other,44,606,Tas
2017,Jul-Dec,Traffic,"Car, pick-up truck or van",107,626,ACT
2017,Jul-Dec,Traffic,Fixed or stationary object,45,395,ACT
2017,Jul-Dec,Traffic,Non-collision transport accident,87,282,ACT
2017,Jul-Dec,Traffic,Other,56,132,ACT
2017,Jul-Dec,Traffic,"Car, pick-up truck or van",105,648,NT
2017,Jul-Dec,Traffic,Fixed or stationary object,47,289,NT
2017,Jul-Dec,Traffic,Non-collision transport accident,193,836,NT
2017,Jul-Dec,Traffic,Other,62,557,NT
2018,Jan-Jun,Traffic,"Car, pick-up truck or van",2117,12815,NSW
2018,Jan-Jun,Traffic,Fixed or stationary object,702,5398,NSW
2018,Jan-Jun,Traffic,Non-collision transport accident,1257,4939,NSW
2018,Jan-Jun,Traffic,Other,841,4496,NSW
2018,Jan-Jun,Traffic,"Car, pick-up truck or van",2902,14351,Vic
2018,Jan-Jun,Traffic,Fixed or stationary object,779,6697,Vic
2018,Jan-Jun,Traffic,Non-collision transport accident,1272,5548,Vic
2018,Jan-Jun,Traffic,Other,948,5735,Vic
2018,Jan-Jun,Traffic,"Car, pick-up truck or van",1796,7751,Qld
2018,Jan-Jun,Traffic,Fixed or stationary object,628,3582,Qld
2018,Jan-Jun,Traffic,Non-collision transport accident,1301,5272,Qld
2018,Jan-Jun,Traffic,Other,822,3270,Qld
2018,Jan-Jun,Traffic,"Car, pick-up truck or van",578,3242,WA
2018,Jan-Jun,Traffic,Fixed or stationary object,207,1397,WA
2018,Jan-Jun,Traffic,Non-collision transport accident,495,2067,WA
2018,Jan-Jun,Traffic,Other,359,1221,WA
2018,Jan-Jun,Traffic,"Car, pick-up truck or van",456,2491,SA
2018,Jan-Jun,Traffic,Fixed or stationary object,167,1332,SA
2018,Jan-Jun,Traffic,Non-collision transport accident,383,1393,SA
2018,Jan-Jun,Traffic,Other,210,1271,SA
2018,Jan-Jun,Traffic,"Car, pick-up truck or van",112,583,Tas
2018,Jan-Jun,Traffic,Fixed or stationary object,56,273,Tas
2018,Jan-Jun,Traffic,Non-collision transport accident,141,516,Tas
2018,Jan-Jun,Traffic,Other,63,479,Tas
2018,Jan-Jun,Traffic,"Car, pick-up truck or van",144,606,ACT
2018,Jan-Jun,Traffic,Fixed or stationary object,40,137,ACT
2018,Jan-Jun,Traffic,Non-collision transport accident,124,320,ACT
2018,Jan-Jun,Traffic,Other,60,182,ACT
2018,Jan-Jun,Traffic,"Car, pick-up truck or van",121,655,NT
2018,Jan-Jun,Traffic,Fixed or stationary object,69,328,NT
2018,Jan-Jun,Traffic,Non-collision transport accident,166,749,NT
2018,Jan-Jun,Traffic,Other,56,450,NT
2018,Jul-Dec,Traffic,"Car, pick-up truck or van",2017,13364,NSW
2018,Jul-Dec,Traffic,Fixed or stationary object,708,5492,NSW
2018,Jul-Dec,Traffic,Non-collision transport accident,1254,6789,NSW
2018,Jul-Dec,Traffic,Other,898,6231,NSW
2018,Jul-Dec,Traffic,"Car, pick-up truck or van",2773,14388,Vic
2018,Jul-Dec,Traffic,Fixed or stationary object,828,6458,Vic
2018,Jul-Dec,Traffic,Non-collision transport accident,1037,4102,Vic
2018,Jul-Dec,Traffic,Other,914,6565,Vic
2018,Jul-Dec,Traffic,"Car, pick-up truck or van",1953,6695,Qld
2018,Jul-Dec,Traffic,Fixed or stationary object,643,3754,Qld
2018,Jul-Dec,Traffic,Non-collision transport accident,1406,5238,Qld
2018,Jul-Dec,Traffic,Other,832,3277,Qld
2018,Jul-Dec,Traffic,"Car, pick-up truck or van",601,3016,WA
2018,Jul-Dec,Traffic,Fixed or stationary object,251,1209,WA
2018,Jul-Dec,Traffic,Non-collision transport accident,463,1538,WA
2018,Jul-Dec,Traffic,Other,320,1390,WA
2018,Jul-Dec,Traffic,"Car, pick-up truck or van",470,2398,SA
2018,Jul-Dec,Traffic,Fixed or stationary object,217,1090,SA
2018,Jul-Dec,Traffic,Non-collision transport accident,346,1096,SA
2018,Jul-Dec,Traffic,Other,240,1587,SA
2018,Jul-Dec,Traffic,"Car, pick-up truck or van",142,1383,Tas
2018,Jul-Dec,Traffic,Fixed or stationary object,59,449,Tas
2018,Jul-Dec,Traffic,Non-collision transport accident,153,531,Tas
2018,Jul-Dec,Traffic,Other,55,462,Tas
2018,Jul-Dec,Traffic,"Car, pick-up truck or van",139,916,ACT
2018,Jul-Dec,Traffic,Fixed or stationary object,39,219,ACT
2018,Jul-Dec,Traffic,Non-collision transport accident,89,414,ACT
2018,Jul-Dec,Traffic,Other,77,190,ACT
2018,Jul-Dec,Traffic,"Car, pick-up truck or van",119,834,NT
2018,Jul-Dec,Traffic,Fixed or stationary object,60,216,NT
2018,Jul-Dec,Traffic,Non-collision transport accident,196,1436,NT
2018,Jul-Dec,Traffic,Other,45,610,NT
2019,Jan-Jun,Traffic,"Car, pick-up truck or van",2139,13838,NSW
2019,Jan-Jun,Traffic,Fixed or stationary object,720,7039,NSW
2019,Jan-Jun,Traffic,Non-collision transport accident,1259,5509,NSW
2019,Jan-Jun,Traffic,Other,871,5683,NSW
2019,Jan-Jun,Traffic,"Car, pick-up truck or van",2885,14637,Vic
2019,Jan-Jun,Traffic,Fixed or stationary object,800,5774,Vic
2019,Jan-Jun,Traffic,Non-collision transport accident,1195,4586,Vic
2019,Jan-Jun,Traffic,Other,1023,5672,Vic
2019,Jan-Jun,Traffic,"Car, pick-up truck or van",1884,8237,Qld
2019,Jan-Jun,Traffic,Fixed or stationary object,675,3241,Qld
2019,Jan-Jun,Traffic,Non-collision transport accident,1268,4246,Qld
2019,Jan-Jun,Traffic,Other,816,3438,Qld
2019,Jan-Jun,Traffic,"Car, pick-up truck or van",604,3743,WA
2019,Jan-Jun,Traffic,Fixed or stationary object,241,1263,WA
2019,Jan-Jun,Traffic,Non-collision transport accident,483,1614,WA
2019,Jan-Jun,Traffic,Other,351,1882,WA
2019,Jan-Jun,Traffic,"Car, pick-up truck or van",442,2047,SA
2019,Jan-Jun,Traffic,Fixed or stationary object,181,1071,SA
2019,Jan-Jun,Traffic,Non-collision transport accident,359,919,SA
2019,Jan-Jun,Traffic,Other,239,1185,SA
2019,Jan-Jun,Traffic,"Car, pick-up truck or van",122,1056,Tas
2019,Jan-Jun,Traffic,Fixed or stationary object,64,366,Tas
2019,Jan-Jun,Traffic,Non-collision transport accident,117,509,Tas
2019,Jan-Jun,Traffic,Other,85,650,Tas
2019,Jan-Jun,Traffic,"Car, pick-up truck or van",138,517,ACT
2019,Jan-Jun,Traffic,Fixed or stationary object,44,338,ACT
2019,Jan-Jun,Traffic,Non-collision transport accident,116,357,ACT
2019,Jan-Jun,Traffic,Other,64,159,ACT
2019,Jan-Jun,Traffic,"Car, pick-up truck or van",68,454,NT
2019,Jan-Jun,Traffic,Fixed or stationary object,52,161,NT
2019,Jan-Jun,Traffic,Non-collision transport accident,145,747,NT
2019,Jan-Jun,Traffic,Other,55,368,NT
2019,Jul-Dec,Traffic,"Car, pick-up truck or van",2164,14016,NSW
2019,Jul-Dec,Traffic,Fixed or stationary object,654,5926,NSW
2019,Jul-Dec,Traffic,Non-collision transport accident,1242,4673,NSW
2019,Jul-Dec,Traffic,Other,893,6314,NSW
2019,Jul-Dec,Traffic,"Car, pick-up truck or van",2745,14736,Vic
2019,Jul-Dec,Traffic,Fixed or stationary object,724,6480,Vic
2019,Jul-Dec,Traffic,Non-collision transport accident,1019,3510,Vic
2019,Jul-Dec,Traffic,Other,1001,5614,Vic
2019,Jul-Dec,Traffic,"Car, pick-up truck or van",2001,8592,Qld
2019,Jul-Dec,Traffic,Fixed or stationary object,647,3075,Qld
2019,Jul-Dec,Traffic,Non-collision transport accident,1343,5109,Qld
2019,Jul-Dec,Traffic,Other,881,4251,Qld
2019,Jul-Dec,Traffic,"Car, pick-up truck or van",666,3358,WA
2019,Jul-Dec,Traffic,Fixed or stationary object,271,1997,WA
2019,Jul-Dec,Traffic,Non-collision transport accident,585,2345,WA
2019,Jul-Dec,Traffic,Other,333,1620,WA
2019,Jul-Dec,Traffic,"Car, pick-up truck or van",482,2187,SA
2019,Jul-Dec,Traffic,Fixed or stationary object,173,974,SA
2019,Jul-Dec,Traffic,Non-collision transport accident,329,1340,SA
2019,Jul-Dec,Traffic,Other,252,1080,SA
2019,Jul-Dec,Traffic,"Car, pick-up truck or van",101,490,Tas
2019,Jul-Dec,Traffic,Fixed or stationary object,51,174,Tas
2019,Jul-Dec,Traffic,Non-collision transport accident,96,323,Tas
2019,Jul-Dec,Traffic,Other,72,512,Tas
2019,Jul-Dec,Traffic,"Car, pick-up truck or van",105,559,ACT
2019,Jul-Dec,Traffic,Fixed or stationary object,38,284,ACT
2019,Jul-Dec,Traffic,Non-collision transport accident,97,362,ACT
2019,Jul-Dec,Traffic,Other,63,228,ACT
2019,Jul-Dec,Traffic,"Car, pick-up truck or van",87,573,NT
2019,Jul-Dec,Traffic,Fixed or stationary object,62,290,NT
2019,Jul-Dec,Traffic,Non-collision transport accident,132,840,NT
2019,Jul-Dec,Traffic,Other,55,376,NT
2020,Jan-Jun,Traffic,"Car, pick-up truck or van",1591,10110,NSW
2020,Jan-Jun,Traffic,Fixed or stationary object,651,4948,NSW
2020,Jan-Jun,Traffic,Non-collision transport accident,1194,4963,NSW
2020,Jan-Jun,Traffic,Other,755,5885,NSW
2020,Jan-Jun,Traffic,"Car, pick-up truck or van",2268,13179,Vic
2020,Jan-Jun,Traffic,Fixed or stationary object,674,5234,Vic
2020,Jan-Jun,Traffic,Non-collision transport accident,1140,4371,Vic
2020,Jan-Jun,Traffic,Other,948,4230,Vic
2020,Jan-Jun,Traffic,"Car, pick-up truck or van",1549,6287,Qld
2020,Jan-Jun,Traffic,Fixed or stationary object,627,3127,Qld
2020,Jan-Jun,Traffic,Non-collision transport accident,1332,4652,Qld
2020,Jan-Jun,Traffic,Other,779,3402,Qld
2020,Jan-Jun,Traffic,"Car, pick-up truck or van",486,3197,WA
2020,Jan-Jun,Traffic,Fixed or stationary object,287,1543,WA
2020,Jan-Jun,Traffic,Non-collision transport accident,583,2685,WA
2020,Jan-Jun,Traffic,Other,348,1716,WA
2020,Jan-Jun,Traffic,"Car, pick-up truck or van",411,2077,SA
2020,Jan-Jun,Traffic,Fixed or stationary object,184,1391,SA
2020,Jan-Jun,Traffic,Non-collision transport accident,367,1638,SA
2020,Jan-Jun,Traffic,Other,209,990,SA
2020,Jan-Jun,Traffic,"Car, pick-up truck or van",109,469,Tas
2020,Jan-Jun,Traffic,Fixed or stationary object,45,214,Tas
2020,Jan-Jun,Traffic,Non-collision transport accident,117,400,Tas
2020,Jan-Jun,Traffic,Other,57,290,Tas
2020,Jan-Jun,Traffic,"Car, pick-up truck or van",78,546,ACT
2020,Jan-Jun,Traffic,Fixed or stationary object,41,396,ACT
2020,Jan-Jun,Traffic,Non-collision transport accident,99,247,ACT
2020,Jan-Jun,Traffic,Other,68,265,ACT
2020,Jan-Jun,Traffic,"Car, pick-up truck or van",82,658,NT
2020,Jan-Jun,Traffic,Fixed or stationary object,56,190,NT
2020,Jan-Jun,Traffic,Non-collision transport accident,122,470,NT
2020,Jan-Jun,Traffic,Other,62,164,NT
2020,Jul-Dec,Traffic,"Car, pick-up truck or van",2139,15236,NSW
2020,Jul-Dec,Traffic,Fixed or stationary object,754,6508,NSW
2020,Jul-Dec,Traffic,Non-collision transport accident,1351,5410,NSW
2020,Jul-Dec,Traffic,Other,839,5311,NSW
2020,Jul-Dec,Traffic,"Car, pick-up truck or van",1922,8088,Vic
2020,Jul-Dec,Traffic,Fixed or stationary object,674,5226,Vic
2020,Jul-Dec,Traffic,Non-collision transport accident,1337,3888,Vic
2020,Jul-Dec,Traffic,Other,921,3721,Vic
2020,Jul-Dec,Traffic,"Car, pick-up truck or van",2193,7248,Qld
2020,Jul-Dec,Traffic,Fixed or stationary object,889,4335,Qld
2020,Jul-Dec,Traffic,Non-collision transport accident,1564,4742,Qld
2020,Jul-Dec,Traffic,Other,868,4057,Qld
2020,Jul-Dec,Traffic,"Car, pick-up truck or van",677,4299,WA
2020,Jul-Dec,Traffic,Fixed or stationary object,298,1582,WA
2020,Jul-Dec,Traffic,Non-collision transport accident,588,2357,WA
2020,Jul-Dec,Traffic,Other,369,1409,WA
2020,Jul-Dec,Traffic,"Car, pick-up truck or van",505,2823,SA
2020,Jul-Dec,Traffic,Fixed or stationary object,197,1300,SA
2020,Jul-Dec,Traffic,Non-collision transport accident,416,1276,SA
2020,Jul-Dec,Traffic,Other,214,685,SA
2020,Jul-Dec,Traffic,"Car, pick-up truck or van",124,551,Tas
2020,Jul-Dec,Traffic,Fixed or stationary object,65,474,Tas
2020,Jul-Dec,Traffic,Non-collision transport accident,173,516,Tas
2020,Jul-Dec,Traffic,Other,88,568,Tas
2020,Jul-Dec,Traffic,"Car, pick-up truck or van",106,322,ACT
2020,Jul-Dec,Traffic,Fixed or stationary object,45,148,ACT
2020,Jul-Dec,Traffic,Non-collision transport accident,118,430,ACT
2020,Jul-Dec,Traffic,Other,74,183,ACT
2020,Jul-Dec,Traffic,"Car, pick-up truck or van",124,613,NT
2020,Jul-Dec,Traffic,Fixed or stationary object,72,359,NT
2020,Jul-Dec,Traffic,Non-collision transport accident,216,754,NT
2020,Jul-Dec,Traffic,Other,53,259,NT
2021,Jan-Jun,Traffic,"Car, pick-up truck or van",2085,13966,NSW
2021,Jan-Jun,Traffic,Fixed or stationary object,729,5772,NSW
2021,Jan-Jun,Traffic,Non-collision transport accident,1325,5707,NSW
2021,Jan-Jun,Traffic,Other,866,5679,NSW
2021,Jan-Jun,Traffic,"Car, pick-up truck or van",2701,13016,Vic
2021,Jan-Jun,Traffic,Fixed or stationary object,764,5767,Vic
2021,Jan-Jun,Traffic,Non-collision transport accident,1420,4830,Vic
2021,Jan-Jun,Traffic,Other,1036,5938,Vic
2021,Jan-Jun,Traffic,"Car, pick-up truck or van",2152,8606,Qld
2021,Jan-Jun,Traffic,Fixed or stationary object,741,3751,Qld
2021,Jan-Jun,Traffic,Non-collision transport accident,1394,5013,Qld
2021,Jan-Jun,Traffic,Other,840,3440,Qld
2021,Jan-Jun,Traffic,"Car, pick-up truck or van",669,4474,WA
2021,Jan-Jun,Traffic,Fixed or stationary object,267,1744,WA
2021,Jan-Jun,Traffic,Non-collision transport accident,522,2293,WA
2021,Jan-Jun,Traffic,Other,342,2043,WA
2021,Jan-Jun,Traffic,"Car, pick-up truck or van",568,2558,SA
2021,Jan-Jun,Traffic,Fixed or stationary object,196,1033,SA
2021,Jan-Jun,Traffic,Non-collision transport accident,342,1265,SA
2021,Jan-Jun,Traffic,Other,231,1202,SA
2021,Jan-Jun,Traffic,"Car, pick-up truck or van",156,1426,Tas
2021,Jan-Jun,Traffic,Fixed or stationary object,65,481,Tas
2021,Jan-Jun,Traffic,Non-collision transport accident,127,559,Tas
2021,Jan-Jun,Traffic,Other,74,376,Tas
2021,Jan-Jun,Traffic,"Car, pick-up truck or van",151,580,ACT
2021,Jan-Jun,Traffic,Fixed or stationary object,52,297,ACT
2021,Jan-Jun,Traffic,Non-collision transport accident,146,557,ACT
2021,Jan-Jun,Traffic,Other,92,202,ACT
2021,Jan-Jun,Traffic,"Car, pick-up truck or van",117,405,NT
2021,Jan-Jun,Traffic,Fixed or stationary object,33,63,NT
2021,Jan-Jun,Traffic,Non-collision transport accident,144,968,NT
2021,Jan-Jun,Traffic,Other,54,184,NT
2021,Jul-Dec,Traffic,"Car, pick-up truck or van",1369,9614,NSW
2021,Jul-Dec,Traffic,Fixed or stationary object,585,4502,NSW
2021,Jul-Dec,Traffic,Non-collision transport accident,1238,4797,NSW
2021,Jul-Dec,Traffic,Other,806,5061,NSW
2021,Jul-Dec,Traffic,"Car, pick-up truck or van",2283,11301,Vic
2021,Jul-Dec,Traffic,Fixed or stationary object,710,4733,Vic
2021,Jul-Dec,Traffic,Non-collision transport accident,1254,4413,Vic
2021,Jul-Dec,Traffic,Other,962,4701,Vic
2021,Jul-Dec,Traffic,"Car, pick-up truck or van",2244,8129,Qld
2021,Jul-Dec,Traffic,Fixed or stationary object,769,3091,Qld
2021,Jul-Dec,Traffic,Non-collision transport accident,1437,4899,Qld
2021,Jul-Dec,Traffic,Other,870,3960,Qld
2021,Jul-Dec,Traffic,"Car, pick-up truck or van",645,4802,WA
2021,Jul-Dec,Traffic,Fixed or stationary object,250,2514,WA
2021,Jul-Dec,Traffic,Non-collision transport accident,532,2683,WA
2021,Jul-Dec,Traffic,Other,341,1735,WA
2021,Jul-Dec,Traffic,"Car, pick-up truck or van",525,2419,SA
2021,Jul-Dec,Traffic,Fixed or stationary object,222,1212,SA
2021,Jul-Dec,Traffic,Non-collision transport accident,328,1208,SA
2021,Jul-Dec,Traffic,Other,220,955,SA
2021,Jul-Dec,Traffic,"Car, pick-up truck or van",138,1072,Tas
2021,Jul-Dec,Traffic,Fixed or stationary object,69,362,Tas
2021,Jul-Dec,Traffic,Non-collision transport accident,114,279,Tas
2021,Jul-Dec,Traffic,Other,62,305,Tas
2021,Jul-Dec,Traffic,"Car, pick-up truck or van",81,369,ACT
2021,Jul-Dec,Traffic,Fixed or stationary object,30,138,ACT
2021,Jul-Dec,Traffic,Non-collision transport accident,102,374,ACT
2021,Jul-Dec,Traffic,Other,86,222,ACT
2021,Jul-Dec,Traffic,"Car, pick-up truck or van",88,319,NT
2021,Jul-Dec,Traffic,Fixed or stationary object,51,237,NT
2021,Jul-Dec,Traffic,Non-collision transport accident,171,1458,NT
2021,Jul-Dec,Traffic,Other,52,439,NT
