calendar year,6-monthly,cause of injury = traffic,road user,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2014,Jan-Jun,Traffic,Bus occupant,26,185,Vic
2014,Jan-Jun,Traffic,Other or unknown,61,248,Vic
2014,Jan-Jun,Traffic,"Car driver, passenger or unknown position",1680,6123,Qld
2014,Jan-Jun,Traffic,Motorcyclist,1030,4080,Qld
2014,Jan-Jun,Traffic,Pedal cyclist,671,1908,Qld
2014,Jan-Jun,Traffic,Pedestrian,173,1043,Qld
2014,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",61,368,Qld
2014,Jan-Jun,Traffic,Pick-up truck or van occupant,25,116,Qld
2014,Jan-Jun,Traffic,Bus occupant,26,141,Qld
2014,Jan-Jun,Traffic,Other or unknown,77,238,Qld
2014,Jan-Jun,Traffic,"Car driver, passenger or unknown position",645,3151,WA
2014,Jan-Jun,Traffic,Motorcyclist,437,2534,WA
2014,Jan-Jun,Traffic,Pedal cyclist,363,1176,WA
2014,Jan-Jun,Traffic,Pedestrian,107,922,WA
2014,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",9,46,WA
2014,Jan-Jun,Traffic,Pick-up truck or van occupant,7,30,WA
2014,Jan-Jun,Traffic,Bus occupant,18,62,WA
2014,Jan-Jun,Traffic,Other or unknown,23,124,WA
2014,Jan-Jun,Traffic,"Car driver, passenger or unknown position",520,2400,SA
2014,Jan-Jun,Traffic,Motorcyclist,289,1279,SA
2014,Jan-Jun,Traffic,Pedal cyclist,277,807,SA
2014,Jan-Jun,Traffic,Pedestrian,83,649,SA
2014,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",21,71,SA
2014,Jan-Jun,Traffic,Pick-up truck or van occupant,18,56,SA
2014,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,SA
2014,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,SA
2014,Jan-Jun,Traffic,"Car driver, passenger or unknown position",133,681,Tas
2014,Jan-Jun,Traffic,Motorcyclist,98,341,Tas
2014,Jan-Jun,Traffic,Pedal cyclist,58,261,Tas
2014,Jan-Jun,Traffic,Pedestrian,29,212,Tas
2014,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,Tas
2014,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,Tas
2014,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,Tas
2014,Jan-Jun,Traffic,Other or unknown,9,20,Tas
2014,Jan-Jun,Traffic,"Car driver, passenger or unknown position",132,567,ACT
2014,Jan-Jun,Traffic,Motorcyclist,50,184,ACT
2014,Jan-Jun,Traffic,Pedal cyclist,83,240,ACT
2014,Jan-Jun,Traffic,Pedestrian,8,17,ACT
2014,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2014,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,ACT
2014,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,ACT
2014,Jan-Jun,Traffic,"Car driver, passenger or unknown position",140,710,NT
2014,Jan-Jun,Traffic,Motorcyclist,79,407,NT
2014,Jan-Jun,Traffic,Pedal cyclist,27,73,NT
2014,Jan-Jun,Traffic,Pedestrian,33,276,NT
2014,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,NT
2014,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,NT
2014,Jan-Jun,Traffic,Bus occupant,7,43,NT
2014,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,NT
2014,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2696,10191,NSW
2014,Jul-Dec,Traffic,Motorcyclist,1340,5690,NSW
2014,Jul-Dec,Traffic,Pedal cyclist,897,2320,NSW
2014,Jul-Dec,Traffic,Pedestrian,525,3614,NSW
2014,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",68,225,NSW
2014,Jul-Dec,Traffic,Pick-up truck or van occupant,34,205,NSW
2014,Jul-Dec,Traffic,Bus occupant,59,255,NSW
2014,Jul-Dec,Traffic,Other or unknown,72,241,NSW
2014,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2077,6391,Vic
2014,Jul-Dec,Traffic,Motorcyclist,796,2969,Vic
2014,Jul-Dec,Traffic,Pedal cyclist,920,2120,Vic
2014,Jul-Dec,Traffic,Pedestrian,331,1650,Vic
2014,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",49,272,Vic
2014,Jul-Dec,Traffic,Pick-up truck or van occupant,28,94,Vic
2014,Jul-Dec,Traffic,Bus occupant,31,99,Vic
2014,Jul-Dec,Traffic,Other or unknown,54,152,Vic
2014,Jul-Dec,Traffic,"Car driver, passenger or unknown position",1900,6752,Qld
2014,Jul-Dec,Traffic,Motorcyclist,1040,4437,Qld
2014,Jul-Dec,Traffic,Pedal cyclist,662,1589,Qld
2014,Jul-Dec,Traffic,Pedestrian,199,1334,Qld
2014,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",85,514,Qld
2014,Jul-Dec,Traffic,Pick-up truck or van occupant,16,52,Qld
2014,Jul-Dec,Traffic,Bus occupant,23,151,Qld
2014,Jul-Dec,Traffic,Other or unknown,57,170,Qld
2014,Jul-Dec,Traffic,"Car driver, passenger or unknown position",637,3881,WA
2014,Jul-Dec,Traffic,Motorcyclist,428,2792,WA
2014,Jul-Dec,Traffic,Pedal cyclist,294,850,WA
2014,Jul-Dec,Traffic,Pedestrian,91,660,WA
2014,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",26,163,WA
2014,Jul-Dec,Traffic,Pick-up truck or van occupant,12,41,WA
2014,Jul-Dec,Traffic,Bus occupant,11,34,WA
2014,Jul-Dec,Traffic,Other or unknown,46,123,WA
2014,Jul-Dec,Traffic,"Car driver, passenger or unknown position",546,2817,SA
2014,Jul-Dec,Traffic,Motorcyclist,268,1091,SA
2014,Jul-Dec,Traffic,Pedal cyclist,217,701,SA
2014,Jul-Dec,Traffic,Pedestrian,79,1072,SA
2014,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",14,41,SA
2014,Jul-Dec,Traffic,Pick-up truck or van occupant,8,15,SA
2014,Jul-Dec,Traffic,Bus occupant,8,28,SA
2014,Jul-Dec,Traffic,Other or unknown,16,51,SA
2014,Jul-Dec,Traffic,"Car driver, passenger or unknown position",128,700,Tas
2014,Jul-Dec,Traffic,Motorcyclist,106,446,Tas
2014,Jul-Dec,Traffic,Pedal cyclist,53,96,Tas
2014,Jul-Dec,Traffic,Pedestrian,16,72,Tas
2014,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,Tas
2014,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,Tas
2014,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,Tas
2014,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,Tas
2014,Jul-Dec,Traffic,"Car driver, passenger or unknown position",100,376,ACT
2014,Jul-Dec,Traffic,Motorcyclist,52,339,ACT
2014,Jul-Dec,Traffic,Pedal cyclist,96,190,ACT
2014,Jul-Dec,Traffic,Pedestrian,12,94,ACT
2014,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2014,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,ACT
2014,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,ACT
2014,Jul-Dec,Traffic,"Car driver, passenger or unknown position",136,621,NT
2014,Jul-Dec,Traffic,Motorcyclist,71,491,NT
2014,Jul-Dec,Traffic,Pedal cyclist,38,97,NT
2014,Jul-Dec,Traffic,Pedestrian,26,142,NT
2014,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",5,51,NT
2014,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,NT
2014,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,NT
2015,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2763,10394,NSW
2015,Jan-Jun,Traffic,Motorcyclist,1233,5055,NSW
2015,Jan-Jun,Traffic,Pedal cyclist,939,2199,NSW
2015,Jan-Jun,Traffic,Pedestrian,468,2796,NSW
2015,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",72,421,NSW
2015,Jan-Jun,Traffic,Pick-up truck or van occupant,35,98,NSW
2015,Jan-Jun,Traffic,Bus occupant,45,394,NSW
2015,Jan-Jun,Traffic,Other or unknown,66,234,NSW
2015,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2190,7238,Vic
2015,Jan-Jun,Traffic,Motorcyclist,859,3176,Vic
2015,Jan-Jun,Traffic,Pedal cyclist,996,2320,Vic
2015,Jan-Jun,Traffic,Pedestrian,326,1463,Vic
2015,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",55,242,Vic
2015,Jan-Jun,Traffic,Pick-up truck or van occupant,34,159,Vic
2015,Jan-Jun,Traffic,Bus occupant,20,120,Vic
2015,Jan-Jun,Traffic,Other or unknown,52,197,Vic
2015,Jan-Jun,Traffic,"Car driver, passenger or unknown position",1967,6204,Qld
2015,Jan-Jun,Traffic,Motorcyclist,1050,3980,Qld
2015,Jan-Jun,Traffic,Pedal cyclist,688,1535,Qld
2015,Jan-Jun,Traffic,Pedestrian,218,1024,Qld
2015,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",68,324,Qld
2015,Jan-Jun,Traffic,Pick-up truck or van occupant,20,98,Qld
2015,Jan-Jun,Traffic,Bus occupant,23,54,Qld
2015,Jan-Jun,Traffic,Other or unknown,48,290,Qld
2015,Jan-Jun,Traffic,"Car driver, passenger or unknown position",666,4127,WA
2015,Jan-Jun,Traffic,Motorcyclist,441,2460,WA
2015,Jan-Jun,Traffic,Pedal cyclist,322,991,WA
2015,Jan-Jun,Traffic,Pedestrian,103,666,WA
2015,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",13,50,WA
2015,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,WA
2015,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,WA
2015,Jan-Jun,Traffic,Other or unknown,22,74,WA
2015,Jan-Jun,Traffic,"Car driver, passenger or unknown position",556,2699,SA
2015,Jan-Jun,Traffic,Motorcyclist,281,1510,SA
2015,Jan-Jun,Traffic,Pedal cyclist,246,584,SA
2015,Jan-Jun,Traffic,Pedestrian,55,286,SA
2015,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",17,40,SA
2015,Jan-Jun,Traffic,Pick-up truck or van occupant,7,23,SA
2015,Jan-Jun,Traffic,Bus occupant,6,15,SA
2015,Jan-Jun,Traffic,Other or unknown,12,75,SA
2015,Jan-Jun,Traffic,"Car driver, passenger or unknown position",161,834,Tas
2015,Jan-Jun,Traffic,Motorcyclist,97,494,Tas
2015,Jan-Jun,Traffic,Pedal cyclist,56,130,Tas
2015,Jan-Jun,Traffic,Pedestrian,16,150,Tas
2015,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,Tas
2015,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,Tas
2015,Jan-Jun,Traffic,Other or unknown,9,65,Tas
2015,Jan-Jun,Traffic,"Car driver, passenger or unknown position",113,407,ACT
2015,Jan-Jun,Traffic,Motorcyclist,69,374,ACT
2015,Jan-Jun,Traffic,Pedal cyclist,131,396,ACT
2015,Jan-Jun,Traffic,Pedestrian,12,86,ACT
2015,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",6,6,ACT
2015,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,ACT
2015,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,ACT
2015,Jan-Jun,Traffic,"Car driver, passenger or unknown position",142,663,NT
2015,Jan-Jun,Traffic,Motorcyclist,81,287,NT
2015,Jan-Jun,Traffic,Pedal cyclist,41,116,NT
2015,Jan-Jun,Traffic,Pedestrian,41,229,NT
2015,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,NT
2015,Jan-Jun,Traffic,Pick-up truck or van occupant,10,48,NT
2015,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,NT
2015,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,NT
2015,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2665,14984,NSW
2015,Jul-Dec,Traffic,Motorcyclist,1226,8794,NSW
2015,Jul-Dec,Traffic,Pedal cyclist,854,2697,NSW
2015,Jul-Dec,Traffic,Pedestrian,483,4582,NSW
2015,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",91,718,NSW
2015,Jul-Dec,Traffic,Pick-up truck or van occupant,30,218,NSW
2015,Jul-Dec,Traffic,Bus occupant,51,234,NSW
2015,Jul-Dec,Traffic,Other or unknown,63,513,NSW
2015,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2368,17789,Vic
2015,Jul-Dec,Traffic,Motorcyclist,835,6770,Vic
2015,Jul-Dec,Traffic,Pedal cyclist,898,3197,Vic
2015,Jul-Dec,Traffic,Pedestrian,374,6186,Vic
2015,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",52,262,Vic
2015,Jul-Dec,Traffic,Pick-up truck or van occupant,29,190,Vic
2015,Jul-Dec,Traffic,Bus occupant,40,353,Vic
2015,Jul-Dec,Traffic,Other or unknown,70,410,Vic
2015,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2046,9464,Qld
2015,Jul-Dec,Traffic,Motorcyclist,1094,6175,Qld
2015,Jul-Dec,Traffic,Pedal cyclist,690,2125,Qld
2015,Jul-Dec,Traffic,Pedestrian,209,1801,Qld
2015,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",73,504,Qld
2015,Jul-Dec,Traffic,Pick-up truck or van occupant,30,283,Qld
2015,Jul-Dec,Traffic,Bus occupant,17,87,Qld
2015,Jul-Dec,Traffic,Other or unknown,65,322,Qld
2015,Jul-Dec,Traffic,"Car driver, passenger or unknown position",706,4815,WA
2015,Jul-Dec,Traffic,Motorcyclist,401,2675,WA
2015,Jul-Dec,Traffic,Pedal cyclist,299,972,WA
2015,Jul-Dec,Traffic,Pedestrian,101,1048,WA
2015,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",20,211,WA
2015,Jul-Dec,Traffic,Pick-up truck or van occupant,8,29,WA
2015,Jul-Dec,Traffic,Bus occupant,13,100,WA
2015,Jul-Dec,Traffic,Other or unknown,48,151,WA
2015,Jul-Dec,Traffic,"Car driver, passenger or unknown position",637,2872,SA
2015,Jul-Dec,Traffic,Motorcyclist,268,1499,SA
2015,Jul-Dec,Traffic,Pedal cyclist,271,758,SA
2015,Jul-Dec,Traffic,Pedestrian,66,636,SA
2015,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,SA
2015,Jul-Dec,Traffic,Pick-up truck or van occupant,5,73,SA
2015,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,SA
2015,Jul-Dec,Traffic,Other or unknown,20,41,SA
2015,Jul-Dec,Traffic,"Car driver, passenger or unknown position",164,840,Tas
2015,Jul-Dec,Traffic,Motorcyclist,100,315,Tas
2015,Jul-Dec,Traffic,Pedal cyclist,37,214,Tas
2015,Jul-Dec,Traffic,Pedestrian,19,300,Tas
2015,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",8,33,Tas
2015,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,Tas
2015,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,Tas
2015,Jul-Dec,Traffic,"Car driver, passenger or unknown position",162,756,ACT
2015,Jul-Dec,Traffic,Motorcyclist,76,329,ACT
2015,Jul-Dec,Traffic,Pedal cyclist,91,269,ACT
2015,Jul-Dec,Traffic,Pedestrian,15,174,ACT
2015,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2015,Jul-Dec,Traffic,Bus occupant,12,51,ACT
2015,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,ACT
2015,Jul-Dec,Traffic,"Car driver, passenger or unknown position",193,944,NT
2015,Jul-Dec,Traffic,Motorcyclist,88,477,NT
2015,Jul-Dec,Traffic,Pedal cyclist,40,97,NT
2015,Jul-Dec,Traffic,Pedestrian,30,473,NT
2015,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,NT
2015,Jul-Dec,Traffic,Pick-up truck or van occupant,9,24,NT
2015,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,NT
2015,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,NT
2016,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2790,12869,NSW
2016,Jan-Jun,Traffic,Motorcyclist,1345,8322,NSW
2016,Jan-Jun,Traffic,Pedal cyclist,955,3049,NSW
2016,Jan-Jun,Traffic,Pedestrian,472,4766,NSW
2016,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",59,461,NSW
2016,Jan-Jun,Traffic,Pick-up truck or van occupant,35,181,NSW
2016,Jan-Jun,Traffic,Bus occupant,51,215,NSW
2016,Jan-Jun,Traffic,Other or unknown,69,450,NSW
2016,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2576,15720,Vic
2016,Jan-Jun,Traffic,Motorcyclist,967,6527,Vic
2016,Jan-Jun,Traffic,Pedal cyclist,1100,4012,Vic
2016,Jan-Jun,Traffic,Pedestrian,370,5050,Vic
2016,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",45,390,Vic
2016,Jan-Jun,Traffic,Pick-up truck or van occupant,33,185,Vic
2016,Jan-Jun,Traffic,Bus occupant,32,454,Vic
2016,Jan-Jun,Traffic,Other or unknown,77,612,Vic
2016,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2029,8782,Qld
2016,Jan-Jun,Traffic,Motorcyclist,1082,5961,Qld
2016,Jan-Jun,Traffic,Pedal cyclist,729,2121,Qld
2016,Jan-Jun,Traffic,Pedestrian,233,1570,Qld
2016,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",66,174,Qld
2016,Jan-Jun,Traffic,Pick-up truck or van occupant,28,117,Qld
2016,Jan-Jun,Traffic,Bus occupant,28,150,Qld
2016,Jan-Jun,Traffic,Other or unknown,73,399,Qld
2016,Jan-Jun,Traffic,"Car driver, passenger or unknown position",595,4743,WA
2016,Jan-Jun,Traffic,Motorcyclist,403,3405,WA
2016,Jan-Jun,Traffic,Pedal cyclist,345,1265,WA
2016,Jan-Jun,Traffic,Pedestrian,88,809,WA
2016,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",22,216,WA
2016,Jan-Jun,Traffic,Pick-up truck or van occupant,12,24,WA
2016,Jan-Jun,Traffic,Bus occupant,8,29,WA
2016,Jan-Jun,Traffic,Other or unknown,35,273,WA
2016,Jan-Jun,Traffic,"Car driver, passenger or unknown position",631,3547,SA
2016,Jan-Jun,Traffic,Motorcyclist,279,1602,SA
2016,Jan-Jun,Traffic,Pedal cyclist,313,863,SA
2016,Jan-Jun,Traffic,Pedestrian,88,793,SA
2016,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",19,140,SA
2016,Jan-Jun,Traffic,Pick-up truck or van occupant,10,58,SA
2016,Jan-Jun,Traffic,Bus occupant,7,60,SA
2016,Jan-Jun,Traffic,Other or unknown,23,100,SA
2016,Jan-Jun,Traffic,"Car driver, passenger or unknown position",155,953,Tas
2016,Jan-Jun,Traffic,Motorcyclist,89,565,Tas
2016,Jan-Jun,Traffic,Pedal cyclist,57,118,Tas
2016,Jan-Jun,Traffic,Pedestrian,13,40,Tas
2016,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,Tas
2016,Jan-Jun,Traffic,Pick-up truck or van occupant,5,90,Tas
2016,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,Tas
2016,Jan-Jun,Traffic,Other or unknown,6,121,Tas
2016,Jan-Jun,Traffic,"Car driver, passenger or unknown position",127,599,ACT
2016,Jan-Jun,Traffic,Motorcyclist,72,296,ACT
2016,Jan-Jun,Traffic,Pedal cyclist,109,294,ACT
2016,Jan-Jun,Traffic,Pedestrian,16,189,ACT
2016,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2016,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,ACT
2016,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,ACT
2016,Jan-Jun,Traffic,Other or unknown,5,5,ACT
2016,Jan-Jun,Traffic,"Car driver, passenger or unknown position",164,721,NT
2016,Jan-Jun,Traffic,Motorcyclist,67,249,NT
2016,Jan-Jun,Traffic,Pedal cyclist,33,106,NT
2016,Jan-Jun,Traffic,Pedestrian,22,336,NT
2016,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,NT
2016,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,NT
2016,Jan-Jun,Traffic,Bus occupant,5,11,NT
2016,Jan-Jun,Traffic,Other or unknown,6,21,NT
2016,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2849,12764,NSW
2016,Jul-Dec,Traffic,Motorcyclist,1303,8053,NSW
2016,Jul-Dec,Traffic,Pedal cyclist,820,2209,NSW
2016,Jul-Dec,Traffic,Pedestrian,492,5702,NSW
2016,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",74,555,NSW
2016,Jul-Dec,Traffic,Pick-up truck or van occupant,32,39,NSW
2016,Jul-Dec,Traffic,Bus occupant,63,311,NSW
2016,Jul-Dec,Traffic,Other or unknown,65,403,NSW
2016,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2748,17988,Vic
2016,Jul-Dec,Traffic,Motorcyclist,839,5989,Vic
2016,Jul-Dec,Traffic,Pedal cyclist,908,2596,Vic
2016,Jul-Dec,Traffic,Pedestrian,430,6069,Vic
2016,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",65,723,Vic
2016,Jul-Dec,Traffic,Pick-up truck or van occupant,43,645,Vic
2016,Jul-Dec,Traffic,Bus occupant,31,171,Vic
2016,Jul-Dec,Traffic,Other or unknown,96,647,Vic
2016,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2231,9037,Qld
2016,Jul-Dec,Traffic,Motorcyclist,1077,6055,Qld
2016,Jul-Dec,Traffic,Pedal cyclist,713,1799,Qld
2016,Jul-Dec,Traffic,Pedestrian,222,1849,Qld
2016,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",76,678,Qld
2016,Jul-Dec,Traffic,Pick-up truck or van occupant,29,385,Qld
2016,Jul-Dec,Traffic,Bus occupant,13,252,Qld
2016,Jul-Dec,Traffic,Other or unknown,73,488,Qld
2016,Jul-Dec,Traffic,"Car driver, passenger or unknown position",657,5315,WA
2016,Jul-Dec,Traffic,Motorcyclist,399,2933,WA
2016,Jul-Dec,Traffic,Pedal cyclist,307,999,WA
2016,Jul-Dec,Traffic,Pedestrian,78,1203,WA
2016,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",12,228,WA
2016,Jul-Dec,Traffic,Pick-up truck or van occupant,24,243,WA
2016,Jul-Dec,Traffic,Bus occupant,13,78,WA
2016,Jul-Dec,Traffic,Other or unknown,33,139,WA
2016,Jul-Dec,Traffic,"Car driver, passenger or unknown position",661,3094,SA
2016,Jul-Dec,Traffic,Motorcyclist,267,1300,SA
2016,Jul-Dec,Traffic,Pedal cyclist,214,554,SA
2016,Jul-Dec,Traffic,Pedestrian,80,864,SA
2016,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",20,114,SA
2016,Jul-Dec,Traffic,Pick-up truck or van occupant,12,27,SA
2016,Jul-Dec,Traffic,Bus occupant,7,11,SA
2016,Jul-Dec,Traffic,Other or unknown,23,68,SA
2016,Jul-Dec,Traffic,"Car driver, passenger or unknown position",155,1087,Tas
2016,Jul-Dec,Traffic,Motorcyclist,82,531,Tas
2016,Jul-Dec,Traffic,Pedal cyclist,39,58,Tas
2016,Jul-Dec,Traffic,Pedestrian,28,173,Tas
2016,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",8,70,Tas
2016,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,Tas
2016,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,Tas
2016,Jul-Dec,Traffic,Other or unknown,9,103,Tas
2016,Jul-Dec,Traffic,"Car driver, passenger or unknown position",123,564,ACT
2016,Jul-Dec,Traffic,Motorcyclist,75,331,ACT
2016,Jul-Dec,Traffic,Pedal cyclist,106,219,ACT
2016,Jul-Dec,Traffic,Pedestrian,12,88,ACT
2016,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,ACT
2016,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,ACT
2016,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,ACT
2016,Jul-Dec,Traffic,"Car driver, passenger or unknown position",210,1100,NT
2016,Jul-Dec,Traffic,Motorcyclist,84,471,NT
2016,Jul-Dec,Traffic,Pedal cyclist,37,65,NT
2016,Jul-Dec,Traffic,Pedestrian,37,407,NT
2016,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",5,11,NT
2016,Jul-Dec,Traffic,Pick-up truck or van occupant,12,152,NT
2016,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,NT
2016,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,NT
2017,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2700,11392,NSW
2017,Jan-Jun,Traffic,Motorcyclist,1296,8418,NSW
2017,Jan-Jun,Traffic,Pedal cyclist,906,3069,NSW
2017,Jan-Jun,Traffic,Pedestrian,461,4121,NSW
2017,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",75,287,NSW
2017,Jan-Jun,Traffic,Pick-up truck or van occupant,41,123,NSW
2017,Jan-Jun,Traffic,Bus occupant,55,415,NSW
2017,Jan-Jun,Traffic,Other or unknown,66,532,NSW
2017,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2733,15252,Vic
2017,Jan-Jun,Traffic,Motorcyclist,1027,7293,Vic
2017,Jan-Jun,Traffic,Pedal cyclist,1099,2941,Vic
2017,Jan-Jun,Traffic,Pedestrian,387,6280,Vic
2017,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",57,314,Vic
2017,Jan-Jun,Traffic,Pick-up truck or van occupant,32,235,Vic
2017,Jan-Jun,Traffic,Bus occupant,30,199,Vic
2017,Jan-Jun,Traffic,Other or unknown,83,405,Vic
2017,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2146,9386,Qld
2017,Jan-Jun,Traffic,Motorcyclist,1095,5403,Qld
2017,Jan-Jun,Traffic,Pedal cyclist,759,2114,Qld
2017,Jan-Jun,Traffic,Pedestrian,225,1891,Qld
2017,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",97,382,Qld
2017,Jan-Jun,Traffic,Pick-up truck or van occupant,23,85,Qld
2017,Jan-Jun,Traffic,Bus occupant,14,105,Qld
2017,Jan-Jun,Traffic,Other or unknown,61,376,Qld
2017,Jan-Jun,Traffic,"Car driver, passenger or unknown position",601,4757,WA
2017,Jan-Jun,Traffic,Motorcyclist,512,3096,WA
2017,Jan-Jun,Traffic,Pedal cyclist,332,895,WA
2017,Jan-Jun,Traffic,Pedestrian,96,857,WA
2017,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",12,108,WA
2017,Jan-Jun,Traffic,Pick-up truck or van occupant,10,243,WA
2017,Jan-Jun,Traffic,Bus occupant,8,42,WA
2017,Jan-Jun,Traffic,Other or unknown,45,155,WA
