calendar year,6-monthly,cause of injury = traffic,sex,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory 
2014,Jan-Jun,Traffic,Male,2700,10185,Vic
2014,Jan-Jun,Traffic,Female,1537,5093,Vic
2014,Jan-Jun,Traffic,Male,2471,9924,Qld
2014,Jan-Jun,Traffic,Female,1272,4093,Qld
2014,Jan-Jun,Traffic,Male,1094,5810,WA
2014,Jan-Jun,Traffic,Female,515,2235,WA
2014,Jan-Jun,Traffic,Male,837,3719,SA
2014,Jan-Jun,Traffic,Female,388,1661,SA
2014,Jan-Jun,Traffic,Male,221,970,Tas
2014,Jan-Jun,Traffic,Female,112,567,Tas
2014,Jan-Jun,Traffic,Male,175,661,ACT
2014,Jan-Jun,Traffic,Female,103,359,ACT
2014,Jan-Jun,Traffic,Male,206,1182,NT
2014,Jan-Jun,Traffic,Female,83,330,NT
2014,Jul-Dec,Traffic,Male,3693,14815,NSW
2014,Jul-Dec,Traffic,Female,1998,7926,NSW
2014,Jul-Dec,Traffic,Male,2707,8889,Vic
2014,Jul-Dec,Traffic,Female,1579,4858,Vic
2014,Jul-Dec,Traffic,Male,2655,10512,Qld
2014,Jul-Dec,Traffic,Female,1327,4487,Qld
2014,Jul-Dec,Traffic,Male,1063,6160,WA
2014,Jul-Dec,Traffic,Female,482,2384,WA
2014,Jul-Dec,Traffic,Male,788,4115,SA
2014,Jul-Dec,Traffic,Female,368,1701,SA
2014,Jul-Dec,Traffic,Male,220,907,Tas
2014,Jul-Dec,Traffic,Female,93,425,Tas
2014,Jul-Dec,Traffic,Male,171,711,ACT
2014,Jul-Dec,Traffic,Female,93,295,ACT
2014,Jul-Dec,Traffic,Male,195,959,NT
2014,Jul-Dec,Traffic,Female,91,496,NT
2015,Jan-Jun,Traffic,Male,3655,14180,NSW
2015,Jan-Jun,Traffic,Female,1966,7411,NSW
2015,Jan-Jun,Traffic,Male,2851,10035,Vic
2015,Jan-Jun,Traffic,Female,1681,4880,Vic
2015,Jan-Jun,Traffic,Male,2653,9321,Qld
2015,Jan-Jun,Traffic,Female,1429,4188,Qld
2015,Jan-Jun,Traffic,Male,1047,6005,WA
2015,Jan-Jun,Traffic,Female,539,2438,WA
2015,Jan-Jun,Traffic,Male,760,3665,SA
2015,Jan-Jun,Traffic,Female,420,1567,SA
2015,Jan-Jun,Traffic,Male,240,1083,Tas
2015,Jan-Jun,Traffic,Female,105,620,Tas
2015,Jan-Jun,Traffic,Male,242,850,ACT
2015,Jan-Jun,Traffic,Female,94,451,ACT
2015,Jan-Jun,Traffic,Male,210,960,NT
2015,Jan-Jun,Traffic,Female,113,441,NT
2015,Jul-Dec,Traffic,Male,3543,22008,NSW
2015,Jul-Dec,Traffic,Female,1920,10732,NSW
2015,Jul-Dec,Traffic,Male,2895,21473,Vic
2015,Jul-Dec,Traffic,Female,1771,13684,Vic
2015,Jul-Dec,Traffic,Male,2790,14077,Qld
2015,Jul-Dec,Traffic,Female,1434,6684,Qld
2015,Jul-Dec,Traffic,Male,1049,6490,WA
2015,Jul-Dec,Traffic,Female,547,3511,WA
2015,Jul-Dec,Traffic,Male,847,3767,SA
2015,Jul-Dec,Traffic,Female,440,2168,SA
2015,Jul-Dec,Traffic,Male,221,1122,Tas
2015,Jul-Dec,Traffic,Female,111,618,Tas
2015,Jul-Dec,Traffic,Male,236,985,ACT
2015,Jul-Dec,Traffic,Female,128,610,ACT
2015,Jul-Dec,Traffic,Male,239,1243,NT
2015,Jul-Dec,Traffic,Female,129,817,NT
2016,Jan-Jun,Traffic,Male,3751,22226,NSW
2016,Jan-Jun,Traffic,Female,2025,8087,NSW
2016,Jan-Jun,Traffic,Male,3249,20384,Vic
2016,Jan-Jun,Traffic,Female,1951,12566,Vic
2016,Jan-Jun,Traffic,Male,2716,12999,Qld
2016,Jan-Jun,Traffic,Female,1552,6275,Qld
2016,Jan-Jun,Traffic,Male,1017,7541,WA
2016,Jan-Jun,Traffic,Female,491,3223,WA
2016,Jan-Jun,Traffic,Male,877,4668,SA
2016,Jan-Jun,Traffic,Female,493,2495,SA
2016,Jan-Jun,Traffic,Male,220,1316,Tas
2016,Jan-Jun,Traffic,Female,110,591,Tas
2016,Jan-Jun,Traffic,Male,229,964,ACT
2016,Jan-Jun,Traffic,Female,106,458,ACT
2016,Jan-Jun,Traffic,Male,213,964,NT
2016,Jan-Jun,Traffic,Female,98,537,NT
2016,Jul-Dec,Traffic,Male,3666,19810,NSW
2016,Jul-Dec,Traffic,Female,2032,10226,NSW
2016,Jul-Dec,Traffic,Male,3157,21639,Vic
2016,Jul-Dec,Traffic,Female,2003,13189,Vic
2016,Jul-Dec,Traffic,Male,2887,14015,Qld
2016,Jul-Dec,Traffic,Female,1547,6528,Qld
2016,Jul-Dec,Traffic,Male,1048,7477,WA
2016,Jul-Dec,Traffic,Female,475,3661,WA
2016,Jul-Dec,Traffic,Male,858,4055,SA
2016,Jul-Dec,Traffic,Female,426,1977,SA
2016,Jul-Dec,Traffic,Male,215,1320,Tas
2016,Jul-Dec,Traffic,Female,112,737,Tas
2016,Jul-Dec,Traffic,Male,220,890,ACT
2016,Jul-Dec,Traffic,Female,99,360,ACT
2016,Jul-Dec,Traffic,Male,263,1497,NT
2016,Jul-Dec,Traffic,Female,135,795,NT
2017,Jan-Jun,Traffic,Male,3582,17979,NSW
2017,Jan-Jun,Traffic,Female,2018,10378,NSW
2017,Jan-Jun,Traffic,Male,3421,20802,Vic
2017,Jan-Jun,Traffic,Female,2027,12117,Vic
2017,Jan-Jun,Traffic,Male,2883,13845,Qld
2017,Jan-Jun,Traffic,Female,1537,5897,Qld
2017,Jan-Jun,Traffic,Male,1089,7183,WA
2017,Jan-Jun,Traffic,Female,527,2970,WA
2017,Jan-Jun,Traffic,Male,848,4804,SA
2017,Jan-Jun,Traffic,Female,465,2122,SA
2017,Jan-Jun,Traffic,Male,223,1236,Tas
2017,Jan-Jun,Traffic,Female,115,734,Tas
2017,Jan-Jun,Traffic,Male,204,656,ACT
2017,Jan-Jun,Traffic,Female,133,518,ACT
2017,Jan-Jun,Traffic,Male,207,1232,NT
2017,Jan-Jun,Traffic,Female,89,435,NT
2017,Jul-Dec,Traffic,Male,3567,20478,NSW
2017,Jul-Dec,Traffic,Female,1849,10679,NSW
2017,Jul-Dec,Traffic,Male,3256,20818,Vic
2017,Jul-Dec,Traffic,Female,2090,10317,Vic
2017,Jul-Dec,Traffic,Male,3050,13995,Qld
2017,Jul-Dec,Traffic,Female,1664,6127,Qld
2017,Jul-Dec,Traffic,Male,1071,6197,WA
2017,Jul-Dec,Traffic,Female,508,2810,WA
2017,Jul-Dec,Traffic,Male,717,4398,SA
2017,Jul-Dec,Traffic,Female,364,2455,SA
2017,Jul-Dec,Traffic,Male,215,1385,Tas
2017,Jul-Dec,Traffic,Female,106,955,Tas
2017,Jul-Dec,Traffic,Male,183,1014,ACT
2017,Jul-Dec,Traffic,Female,112,421,ACT
2017,Jul-Dec,Traffic,Male,261,1438,NT
2017,Jul-Dec,Traffic,Female,146,892,NT
2018,Jan-Jun,Traffic,Male,3204,18298,NSW
2018,Jan-Jun,Traffic,Female,1713,9350,NSW
2018,Jan-Jun,Traffic,Male,3685,20114,Vic
2018,Jan-Jun,Traffic,Female,2216,12217,Vic
2018,Jan-Jun,Traffic,Male,2970,13953,Qld
2018,Jan-Jun,Traffic,Female,1577,5922,Qld
2018,Jan-Jun,Traffic,Male,1073,5294,WA
2018,Jan-Jun,Traffic,Female,566,2633,WA
2018,Jan-Jun,Traffic,Male,793,4950,SA
2018,Jan-Jun,Traffic,Female,423,1537,SA
2018,Jan-Jun,Traffic,Male,229,1177,Tas
2018,Jan-Jun,Traffic,Female,143,674,Tas
2018,Jan-Jun,Traffic,Male,250,785,ACT
2018,Jan-Jun,Traffic,Female,118,460,ACT
2018,Jan-Jun,Traffic,Male,241,1417,NT
2018,Jan-Jun,Traffic,Female,171,765,NT
2018,Jul-Dec,Traffic,Male,3247,21415,NSW
2018,Jul-Dec,Traffic,Female,1630,10461,NSW
2018,Jul-Dec,Traffic,Male,3404,19925,Vic
2018,Jul-Dec,Traffic,Female,2147,11587,Vic
2018,Jul-Dec,Traffic,Male,3078,12792,Qld
2018,Jul-Dec,Traffic,Female,1756,6172,Qld
2018,Jul-Dec,Traffic,Male,1066,4488,WA
2018,Jul-Dec,Traffic,Female,569,2665,WA
2018,Jul-Dec,Traffic,Male,829,4176,SA
2018,Jul-Dec,Traffic,Female,444,1995,SA
2018,Jul-Dec,Traffic,Male,255,1751,Tas
2018,Jul-Dec,Traffic,Female,153,1073,Tas
2018,Jul-Dec,Traffic,Male,232,1256,ACT
2018,Jul-Dec,Traffic,Female,112,483,ACT
2018,Jul-Dec,Traffic,Male,269,1686,NT
2018,Jul-Dec,Traffic,Female,151,1410,NT
2019,Jan-Jun,Traffic,Male,3254,22073,NSW
2019,Jan-Jun,Traffic,Female,1735,9996,NSW
2019,Jan-Jun,Traffic,Male,3616,20509,Vic
2019,Jan-Jun,Traffic,Female,2286,10159,Vic
2019,Jan-Jun,Traffic,Male,2903,13563,Qld
2019,Jan-Jun,Traffic,Female,1740,5599,Qld
2019,Jan-Jun,Traffic,Male,1123,5966,WA
2019,Jan-Jun,Traffic,Female,556,2536,WA
2019,Jan-Jun,Traffic,Male,847,3463,SA
2019,Jan-Jun,Traffic,Female,374,1759,SA
2019,Jan-Jun,Traffic,Male,248,1516,Tas
2019,Jan-Jun,Traffic,Female,140,1065,Tas
2019,Jan-Jun,Traffic,Male,230,969,ACT
2019,Jan-Jun,Traffic,Female,132,402,ACT
2019,Jan-Jun,Traffic,Male,208,1377,NT
2019,Jan-Jun,Traffic,Female,112,353,NT
2019,Jul-Dec,Traffic,Male,3225,20796,NSW
2019,Jul-Dec,Traffic,Female,1728,10133,NSW
2019,Jul-Dec,Traffic,Male,3316,19264,Vic
2019,Jul-Dec,Traffic,Female,2173,11076,Vic
2019,Jul-Dec,Traffic,Male,3149,14396,Qld
2019,Jul-Dec,Traffic,Female,1723,6631,Qld
2019,Jul-Dec,Traffic,Male,1224,6308,WA
2019,Jul-Dec,Traffic,Female,631,3012,WA
2019,Jul-Dec,Traffic,Male,802,3856,SA
2019,Jul-Dec,Traffic,Female,434,1725,SA
2019,Jul-Dec,Traffic,Male,209,929,Tas
2019,Jul-Dec,Traffic,Female,111,570,Tas
2019,Jul-Dec,Traffic,Male,201,1139,ACT
2019,Jul-Dec,Traffic,Female,102,294,ACT
2019,Jul-Dec,Traffic,Male,218,1434,NT
2019,Jul-Dec,Traffic,Female,118,645,NT
2020,Jan-Jun,Traffic,Male,2884,17934,NSW
2020,Jan-Jun,Traffic,Female,1307,7972,NSW
2020,Jan-Jun,Traffic,Male,3191,17426,Vic
2020,Jan-Jun,Traffic,Female,1839,9588,Vic
2020,Jan-Jun,Traffic,Male,2808,11976,Qld
2020,Jan-Jun,Traffic,Female,1479,5492,Qld
2020,Jan-Jun,Traffic,Male,1163,6616,WA
2020,Jan-Jun,Traffic,Female,541,2525,WA
2020,Jan-Jun,Traffic,Male,802,4569,SA
2020,Jan-Jun,Traffic,Female,369,1527,SA
2020,Jan-Jun,Traffic,Male,215,812,Tas
2020,Jan-Jun,Traffic,Female,112,559,Tas
2020,Jan-Jun,Traffic,Male,203,1213,ACT
2020,Jan-Jun,Traffic,Female,83,241,ACT
2020,Jan-Jun,Traffic,Male,232,1055,NT
2020,Jan-Jun,Traffic,Female,89,426,NT
2020,Jul-Dec,Traffic,Male,3393,21375,NSW
2020,Jul-Dec,Traffic,Female,1690,11090,NSW
2020,Jul-Dec,Traffic,Male,3228,14591,Vic
2020,Jul-Dec,Traffic,Female,1625,6330,Vic
2020,Jul-Dec,Traffic,Male,3571,14127,Qld
2020,Jul-Dec,Traffic,Female,1943,6255,Qld
2020,Jul-Dec,Traffic,Male,1301,6698,WA
2020,Jul-Dec,Traffic,Female,631,2949,WA
2020,Jul-Dec,Traffic,Male,908,3875,SA
2020,Jul-Dec,Traffic,Female,424,2209,SA
2020,Jul-Dec,Traffic,Male,289,1370,Tas
2020,Jul-Dec,Traffic,Female,161,739,Tas
2020,Jul-Dec,Traffic,Male,233,827,ACT
2020,Jul-Dec,Traffic,Female,107,232,ACT
2020,Jul-Dec,Traffic,Male,329,1539,NT
2020,Jul-Dec,Traffic,Female,136,446,NT
2021,Jan-Jun,Traffic,Male,3325,22026,NSW
2021,Jan-Jun,Traffic,Female,1680,9098,NSW
2021,Jan-Jun,Traffic,Male,3751,20089,Vic
2021,Jan-Jun,Traffic,Female,2169,9461,Vic
2021,Jan-Jun,Traffic,Male,3248,14374,Qld
2021,Jan-Jun,Traffic,Female,1879,6436,Qld
2021,Jan-Jun,Traffic,Male,1184,7471,WA
2021,Jan-Jun,Traffic,Female,616,3083,WA
2021,Jan-Jun,Traffic,Male,867,4242,SA
2021,Jan-Jun,Traffic,Female,470,1816,SA
2021,Jan-Jun,Traffic,Male,289,1788,Tas
2021,Jan-Jun,Traffic,Female,133,1054,Tas
2021,Jan-Jun,Traffic,Male,297,1122,ACT
2021,Jan-Jun,Traffic,Female,144,514,ACT
2021,Jan-Jun,Traffic,Male,227,965,NT
2021,Jan-Jun,Traffic,Female,121,655,NT
2021,Jul-Dec,Traffic,Male,2793,16987,NSW
2021,Jul-Dec,Traffic,Female,1205,6987,NSW
2021,Jul-Dec,Traffic,Male,3347,16338,Vic
2021,Jul-Dec,Traffic,Female,1862,8810,Vic
2021,Jul-Dec,Traffic,Male,3425,13865,Qld
2021,Jul-Dec,Traffic,Female,1895,6214,Qld
2021,Jul-Dec,Traffic,Male,1180,8462,WA
2021,Jul-Dec,Traffic,Female,588,3272,WA
2021,Jul-Dec,Traffic,Male,835,3709,SA
2021,Jul-Dec,Traffic,Female,460,2085,SA
2021,Jul-Dec,Traffic,Male,247,1303,Tas
2021,Jul-Dec,Traffic,Female,136,715,Tas
2021,Jul-Dec,Traffic,Male,209,874,ACT
2021,Jul-Dec,Traffic,Female,90,229,ACT
2021,Jul-Dec,Traffic,Male,237,2053,NT
2021,Jul-Dec,Traffic,Female,125,400,NT
