calendar year,6-monthly,cause of injury = traffic,age group,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2015,Jan-Jun,Traffic,0-7,23,38,SA
2015,Jan-Jun,Traffic,17-25,236,884,SA
2015,Jan-Jun,Traffic,26-39,248,886,SA
2015,Jan-Jun,Traffic,40-64,403,2183,SA
2015,Jan-Jun,Traffic,65-74,87,442,SA
2015,Jan-Jun,Traffic,75+,108,651,SA
2015,Jan-Jun,Traffic,8-16,75,148,SA
2015,Jan-Jun,Traffic,0-7,n.p.,n.p.,Tas
2015,Jan-Jun,Traffic,17-25,78,334,Tas
2015,Jan-Jun,Traffic,26-39,83,408,Tas
2015,Jan-Jun,Traffic,40-64,110,436,Tas
2015,Jan-Jun,Traffic,65-74,17,145,Tas
2015,Jan-Jun,Traffic,75+,n.p.,n.p.,Tas
2015,Jan-Jun,Traffic,8-16,31,60,Tas
2015,Jan-Jun,Traffic,0-7,n.p.,n.p.,ACT
2015,Jan-Jun,Traffic,17-25,52,233,ACT
2015,Jan-Jun,Traffic,26-39,84,221,ACT
2015,Jan-Jun,Traffic,40-64,133,514,ACT
2015,Jan-Jun,Traffic,65-74,23,123,ACT
2015,Jan-Jun,Traffic,75+,n.p.,n.p.,ACT
2015,Jan-Jun,Traffic,8-16,28,60,ACT
2015,Jan-Jun,Traffic,0-7,6,25,NT
2015,Jan-Jun,Traffic,17-25,68,357,NT
2015,Jan-Jun,Traffic,26-39,87,341,NT
2015,Jan-Jun,Traffic,40-64,116,469,NT
2015,Jan-Jun,Traffic,65-74,5,28,NT
2015,Jan-Jun,Traffic,75+,7,87,NT
2015,Jan-Jun,Traffic,8-16,34,94,NT
2015,Jul-Dec,Traffic,0-7,112,498,NSW
2015,Jul-Dec,Traffic,17-25,1177,5191,NSW
2015,Jul-Dec,Traffic,26-39,1277,6428,NSW
2015,Jul-Dec,Traffic,40-64,1796,12336,NSW
2015,Jul-Dec,Traffic,65-74,395,3007,NSW
2015,Jul-Dec,Traffic,75+,389,4443,NSW
2015,Jul-Dec,Traffic,8-16,317,837,NSW
2015,Jul-Dec,Traffic,0-7,83,134,Vic
2015,Jul-Dec,Traffic,17-25,917,5409,Vic
2015,Jul-Dec,Traffic,26-39,1215,7349,Vic
2015,Jul-Dec,Traffic,40-64,1502,10586,Vic
2015,Jul-Dec,Traffic,65-74,333,4191,Vic
2015,Jul-Dec,Traffic,75+,350,6329,Vic
2015,Jul-Dec,Traffic,8-16,266,1159,Vic
2015,Jul-Dec,Traffic,0-7,110,601,Qld
2015,Jul-Dec,Traffic,17-25,903,2918,Qld
2015,Jul-Dec,Traffic,26-39,997,4857,Qld
2015,Jul-Dec,Traffic,40-64,1387,7537,Qld
2015,Jul-Dec,Traffic,65-74,243,1918,Qld
2015,Jul-Dec,Traffic,75+,238,2111,Qld
2015,Jul-Dec,Traffic,8-16,346,819,Qld
2015,Jul-Dec,Traffic,0-7,42,137,WA
2015,Jul-Dec,Traffic,17-25,343,1832,WA
2015,Jul-Dec,Traffic,26-39,417,2309,WA
2015,Jul-Dec,Traffic,40-64,471,3451,WA
2015,Jul-Dec,Traffic,65-74,101,713,WA
2015,Jul-Dec,Traffic,75+,82,1148,WA
2015,Jul-Dec,Traffic,8-16,140,411,WA
2015,Jul-Dec,Traffic,0-7,14,21,SA
2015,Jul-Dec,Traffic,17-25,246,763,SA
2015,Jul-Dec,Traffic,26-39,302,1386,SA
2015,Jul-Dec,Traffic,40-64,453,1981,SA
2015,Jul-Dec,Traffic,65-74,91,649,SA
2015,Jul-Dec,Traffic,75+,97,781,SA
2015,Jul-Dec,Traffic,8-16,84,354,SA
2015,Jul-Dec,Traffic,0-7,n.p.,n.p.,Tas
2015,Jul-Dec,Traffic,17-25,79,349,Tas
2015,Jul-Dec,Traffic,26-39,77,352,Tas
2015,Jul-Dec,Traffic,40-64,108,577,Tas
2015,Jul-Dec,Traffic,65-74,27,196,Tas
2015,Jul-Dec,Traffic,75+,n.p.,n.p.,Tas
2015,Jul-Dec,Traffic,8-16,21,32,Tas
2015,Jul-Dec,Traffic,0-7,7,7,ACT
2015,Jul-Dec,Traffic,17-25,78,270,ACT
2015,Jul-Dec,Traffic,26-39,87,249,ACT
2015,Jul-Dec,Traffic,40-64,117,609,ACT
2015,Jul-Dec,Traffic,65-74,29,209,ACT
2015,Jul-Dec,Traffic,75+,31,197,ACT
2015,Jul-Dec,Traffic,8-16,15,54,ACT
2015,Jul-Dec,Traffic,0-7,n.p.,n.p.,NT
2015,Jul-Dec,Traffic,17-25,89,437,NT
2015,Jul-Dec,Traffic,26-39,110,496,NT
2015,Jul-Dec,Traffic,40-64,125,931,NT
2015,Jul-Dec,Traffic,65-74,9,49,NT
2015,Jul-Dec,Traffic,75+,n.p.,n.p.,NT
2015,Jul-Dec,Traffic,8-16,23,107,NT
2016,Jan-Jun,Traffic,0-7,84,459,NSW
2016,Jan-Jun,Traffic,17-25,1192,4897,NSW
2016,Jan-Jun,Traffic,26-39,1425,6385,NSW
2016,Jan-Jun,Traffic,40-64,1887,11063,NSW
2016,Jan-Jun,Traffic,65-74,409,3191,NSW
2016,Jan-Jun,Traffic,75+,404,3298,NSW
2016,Jan-Jun,Traffic,8-16,375,1020,NSW
2016,Jan-Jun,Traffic,0-7,86,314,Vic
2016,Jan-Jun,Traffic,17-25,1105,5228,Vic
2016,Jan-Jun,Traffic,26-39,1282,6653,Vic
2016,Jan-Jun,Traffic,40-64,1762,10731,Vic
2016,Jan-Jun,Traffic,65-74,348,3923,Vic
2016,Jan-Jun,Traffic,75+,335,5333,Vic
2016,Jan-Jun,Traffic,8-16,282,768,Vic
2016,Jan-Jun,Traffic,0-7,93,249,Qld
2016,Jan-Jun,Traffic,17-25,1000,3113,Qld
2016,Jan-Jun,Traffic,26-39,1010,3905,Qld
2016,Jan-Jun,Traffic,40-64,1343,7388,Qld
2016,Jan-Jun,Traffic,65-74,264,2086,Qld
2016,Jan-Jun,Traffic,75+,223,1782,Qld
2016,Jan-Jun,Traffic,8-16,335,751,Qld
2016,Jan-Jun,Traffic,0-7,41,69,WA
2016,Jan-Jun,Traffic,17-25,271,1778,WA
2016,Jan-Jun,Traffic,26-39,356,2408,WA
2016,Jan-Jun,Traffic,40-64,505,3834,WA
2016,Jan-Jun,Traffic,65-74,111,1269,WA
2016,Jan-Jun,Traffic,75+,77,891,WA
2016,Jan-Jun,Traffic,8-16,147,515,WA
2016,Jan-Jun,Traffic,0-7,25,45,SA
2016,Jan-Jun,Traffic,17-25,284,938,SA
2016,Jan-Jun,Traffic,26-39,289,1399,SA
2016,Jan-Jun,Traffic,40-64,466,2658,SA
2016,Jan-Jun,Traffic,65-74,109,706,SA
2016,Jan-Jun,Traffic,75+,113,1241,SA
2016,Jan-Jun,Traffic,8-16,84,176,SA
2016,Jan-Jun,Traffic,0-7,6,11,Tas
2016,Jan-Jun,Traffic,17-25,94,527,Tas
2016,Jan-Jun,Traffic,26-39,59,212,Tas
2016,Jan-Jun,Traffic,40-64,96,569,Tas
2016,Jan-Jun,Traffic,65-74,21,241,Tas
2016,Jan-Jun,Traffic,75+,22,289,Tas
2016,Jan-Jun,Traffic,8-16,32,58,Tas
2016,Jan-Jun,Traffic,0-7,12,25,ACT
2016,Jan-Jun,Traffic,17-25,68,170,ACT
2016,Jan-Jun,Traffic,26-39,77,225,ACT
2016,Jan-Jun,Traffic,40-64,115,518,ACT
2016,Jan-Jun,Traffic,65-74,28,137,ACT
2016,Jan-Jun,Traffic,75+,16,288,ACT
2016,Jan-Jun,Traffic,8-16,19,59,ACT
2016,Jan-Jun,Traffic,0-7,8,22,NT
2016,Jan-Jun,Traffic,17-25,93,385,NT
2016,Jan-Jun,Traffic,26-39,80,281,NT
2016,Jan-Jun,Traffic,40-64,84,458,NT
2016,Jan-Jun,Traffic,65-74,11,121,NT
2016,Jan-Jun,Traffic,75+,6,86,NT
2016,Jan-Jun,Traffic,8-16,29,148,NT
2016,Jul-Dec,Traffic,0-7,90,356,NSW
2016,Jul-Dec,Traffic,17-25,1223,5126,NSW
2016,Jul-Dec,Traffic,26-39,1288,6030,NSW
2016,Jul-Dec,Traffic,40-64,1948,10689,NSW
2016,Jul-Dec,Traffic,65-74,423,3028,NSW
2016,Jul-Dec,Traffic,75+,396,3894,NSW
2016,Jul-Dec,Traffic,8-16,330,913,NSW
2016,Jul-Dec,Traffic,0-7,87,322,Vic
2016,Jul-Dec,Traffic,17-25,1020,5007,Vic
2016,Jul-Dec,Traffic,26-39,1367,6986,Vic
2016,Jul-Dec,Traffic,40-64,1725,12409,Vic
2016,Jul-Dec,Traffic,65-74,377,3320,Vic
2016,Jul-Dec,Traffic,75+,338,6075,Vic
2016,Jul-Dec,Traffic,8-16,246,709,Vic
2016,Jul-Dec,Traffic,0-7,108,221,Qld
2016,Jul-Dec,Traffic,17-25,1021,3127,Qld
2016,Jul-Dec,Traffic,26-39,1055,4477,Qld
2016,Jul-Dec,Traffic,40-64,1442,7723,Qld
2016,Jul-Dec,Traffic,65-74,289,2096,Qld
2016,Jul-Dec,Traffic,75+,210,2318,Qld
2016,Jul-Dec,Traffic,8-16,309,581,Qld
2016,Jul-Dec,Traffic,0-7,41,84,WA
2016,Jul-Dec,Traffic,17-25,306,2413,WA
2016,Jul-Dec,Traffic,26-39,387,2637,WA
2016,Jul-Dec,Traffic,40-64,517,3567,WA
2016,Jul-Dec,Traffic,65-74,76,820,WA
2016,Jul-Dec,Traffic,75+,86,1255,WA
2016,Jul-Dec,Traffic,8-16,110,362,WA
2016,Jul-Dec,Traffic,0-7,25,45,SA
2016,Jul-Dec,Traffic,17-25,281,1141,SA
2016,Jul-Dec,Traffic,26-39,272,1122,SA
2016,Jul-Dec,Traffic,40-64,411,1843,SA
2016,Jul-Dec,Traffic,65-74,115,760,SA
2016,Jul-Dec,Traffic,75+,109,874,SA
2016,Jul-Dec,Traffic,8-16,71,247,SA
2016,Jul-Dec,Traffic,0-7,5,9,Tas
2016,Jul-Dec,Traffic,17-25,88,444,Tas
2016,Jul-Dec,Traffic,26-39,69,376,Tas
2016,Jul-Dec,Traffic,40-64,88,717,Tas
2016,Jul-Dec,Traffic,65-74,25,235,Tas
2016,Jul-Dec,Traffic,75+,24,218,Tas
2016,Jul-Dec,Traffic,8-16,28,58,Tas
2016,Jul-Dec,Traffic,0-7,n.p.,n.p.,ACT
2016,Jul-Dec,Traffic,17-25,70,320,ACT
2016,Jul-Dec,Traffic,26-39,77,155,ACT
2016,Jul-Dec,Traffic,40-64,99,396,ACT
2016,Jul-Dec,Traffic,65-74,n.p.,n.p.,ACT
2016,Jul-Dec,Traffic,75+,27,200,ACT
2016,Jul-Dec,Traffic,8-16,32,52,ACT
2016,Jul-Dec,Traffic,0-7,n.p.,n.p.,NT
2016,Jul-Dec,Traffic,17-25,104,379,NT
2016,Jul-Dec,Traffic,26-39,118,602,NT
2016,Jul-Dec,Traffic,40-64,108,729,NT
2016,Jul-Dec,Traffic,65-74,n.p.,n.p.,NT
2016,Jul-Dec,Traffic,75+,7,333,NT
2016,Jul-Dec,Traffic,8-16,32,75,NT
2017,Jan-Jun,Traffic,0-7,108,284,NSW
2017,Jan-Jun,Traffic,17-25,1180,4264,NSW
2017,Jan-Jun,Traffic,26-39,1314,5910,NSW
2017,Jan-Jun,Traffic,40-64,1854,10788,NSW
2017,Jan-Jun,Traffic,65-74,443,2581,NSW
2017,Jan-Jun,Traffic,75+,393,3535,NSW
2017,Jan-Jun,Traffic,8-16,308,995,NSW
2017,Jan-Jun,Traffic,0-7,90,112,Vic
2017,Jan-Jun,Traffic,17-25,1124,4974,Vic
2017,Jan-Jun,Traffic,26-39,1444,7446,Vic
2017,Jan-Jun,Traffic,40-64,1826,11652,Vic
2017,Jan-Jun,Traffic,65-74,356,3483,Vic
2017,Jan-Jun,Traffic,75+,324,4104,Vic
2017,Jan-Jun,Traffic,8-16,284,1148,Vic
2017,Jan-Jun,Traffic,0-7,95,153,Qld
2017,Jan-Jun,Traffic,17-25,987,3264,Qld
2017,Jan-Jun,Traffic,26-39,1081,4181,Qld
2017,Jan-Jun,Traffic,40-64,1440,7014,Qld
2017,Jan-Jun,Traffic,65-74,270,2196,Qld
2017,Jan-Jun,Traffic,75+,206,2177,Qld
2017,Jan-Jun,Traffic,8-16,341,757,Qld
2017,Jan-Jun,Traffic,0-7,35,81,WA
2017,Jan-Jun,Traffic,17-25,276,1652,WA
2017,Jan-Jun,Traffic,26-39,408,2168,WA
2017,Jan-Jun,Traffic,40-64,571,3795,WA
2017,Jan-Jun,Traffic,65-74,98,1158,WA
2017,Jan-Jun,Traffic,75+,83,700,WA
2017,Jan-Jun,Traffic,8-16,145,599,WA
2017,Jan-Jun,Traffic,0-7,19,74,SA
2017,Jan-Jun,Traffic,17-25,252,961,SA
2017,Jan-Jun,Traffic,26-39,292,1478,SA
2017,Jan-Jun,Traffic,40-64,460,2210,SA
2017,Jan-Jun,Traffic,65-74,101,785,SA
2017,Jan-Jun,Traffic,75+,109,1138,SA
2017,Jan-Jun,Traffic,8-16,80,280,SA
2017,Jan-Jun,Traffic,0-7,n.p.,n.p.,Tas
2017,Jan-Jun,Traffic,17-25,66,220,Tas
2017,Jan-Jun,Traffic,26-39,58,395,Tas
2017,Jan-Jun,Traffic,40-64,117,540,Tas
2017,Jan-Jun,Traffic,65-74,36,268,Tas
2017,Jan-Jun,Traffic,75+,n.p.,n.p.,Tas
2017,Jan-Jun,Traffic,8-16,34,97,Tas
2017,Jan-Jun,Traffic,0-7,n.p.,n.p.,ACT
2017,Jan-Jun,Traffic,17-25,52,141,ACT
2017,Jan-Jun,Traffic,26-39,74,166,ACT
2017,Jan-Jun,Traffic,40-64,146,440,ACT
2017,Jan-Jun,Traffic,65-74,26,168,ACT
2017,Jan-Jun,Traffic,75+,n.p.,n.p.,ACT
2017,Jan-Jun,Traffic,8-16,20,87,ACT
2017,Jan-Jun,Traffic,0-7,6,14,NT
2017,Jan-Jun,Traffic,17-25,61,198,NT
2017,Jan-Jun,Traffic,26-39,107,379,NT
2017,Jan-Jun,Traffic,40-64,77,708,NT
2017,Jan-Jun,Traffic,65-74,16,247,NT
2017,Jan-Jun,Traffic,75+,8,87,NT
2017,Jan-Jun,Traffic,8-16,21,34,NT
2017,Jul-Dec,Traffic,0-7,82,298,NSW
2017,Jul-Dec,Traffic,17-25,1213,4814,NSW
2017,Jul-Dec,Traffic,26-39,1196,6592,NSW
2017,Jul-Dec,Traffic,40-64,1793,10243,NSW
2017,Jul-Dec,Traffic,65-74,404,2836,NSW
2017,Jul-Dec,Traffic,75+,406,5502,NSW
2017,Jul-Dec,Traffic,8-16,322,872,NSW
2017,Jul-Dec,Traffic,0-7,103,199,Vic
2017,Jul-Dec,Traffic,17-25,1088,5445,Vic
2017,Jul-Dec,Traffic,26-39,1319,6323,Vic
2017,Jul-Dec,Traffic,40-64,1781,9672,Vic
2017,Jul-Dec,Traffic,65-74,428,4109,Vic
2017,Jul-Dec,Traffic,75+,337,4728,Vic
2017,Jul-Dec,Traffic,8-16,290,659,Vic
2017,Jul-Dec,Traffic,0-7,122,260,Qld
2017,Jul-Dec,Traffic,17-25,1054,3556,Qld
2017,Jul-Dec,Traffic,26-39,1061,3449,Qld
2017,Jul-Dec,Traffic,40-64,1564,7090,Qld
2017,Jul-Dec,Traffic,65-74,310,2086,Qld
2017,Jul-Dec,Traffic,75+,245,2668,Qld
2017,Jul-Dec,Traffic,8-16,358,1013,Qld
2017,Jul-Dec,Traffic,0-7,28,66,WA
2017,Jul-Dec,Traffic,17-25,336,1681,WA
2017,Jul-Dec,Traffic,26-39,396,1965,WA
2017,Jul-Dec,Traffic,40-64,509,2938,WA
2017,Jul-Dec,Traffic,65-74,79,943,WA
2017,Jul-Dec,Traffic,75+,88,924,WA
2017,Jul-Dec,Traffic,8-16,143,490,WA
2017,Jul-Dec,Traffic,0-7,21,194,SA
2017,Jul-Dec,Traffic,17-25,211,1036,SA
2017,Jul-Dec,Traffic,26-39,233,1333,SA
2017,Jul-Dec,Traffic,40-64,331,2271,SA
2017,Jul-Dec,Traffic,65-74,104,751,SA
2017,Jul-Dec,Traffic,75+,111,1054,SA
2017,Jul-Dec,Traffic,8-16,70,214,SA
2017,Jul-Dec,Traffic,0-7,n.p.,n.p.,Tas
2017,Jul-Dec,Traffic,17-25,83,326,Tas
2017,Jul-Dec,Traffic,26-39,46,282,Tas
2017,Jul-Dec,Traffic,40-64,116,1037,Tas
2017,Jul-Dec,Traffic,65-74,32,313,Tas
2017,Jul-Dec,Traffic,75+,n.p.,n.p.,Tas
2017,Jul-Dec,Traffic,8-16,16,24,Tas
2017,Jul-Dec,Traffic,0-7,n.p.,n.p.,ACT
2017,Jul-Dec,Traffic,17-25,61,215,ACT
2017,Jul-Dec,Traffic,26-39,79,353,ACT
2017,Jul-Dec,Traffic,40-64,91,382,ACT
2017,Jul-Dec,Traffic,65-74,16,92,ACT
2017,Jul-Dec,Traffic,75+,n.p.,n.p.,ACT
2017,Jul-Dec,Traffic,8-16,20,34,ACT
2017,Jul-Dec,Traffic,0-7,14,103,NT
2017,Jul-Dec,Traffic,17-25,118,448,NT
2017,Jul-Dec,Traffic,26-39,90,558,NT
2017,Jul-Dec,Traffic,40-64,127,865,NT
2017,Jul-Dec,Traffic,65-74,14,72,NT
2017,Jul-Dec,Traffic,75+,9,210,NT
2017,Jul-Dec,Traffic,8-16,35,74,NT
2018,Jan-Jun,Traffic,0-7,63,205,NSW
2018,Jan-Jun,Traffic,17-25,1008,4435,NSW
2018,Jan-Jun,Traffic,26-39,1155,5005,NSW
2018,Jan-Jun,Traffic,40-64,1649,9713,NSW
2018,Jan-Jun,Traffic,65-74,378,3511,NSW
2018,Jan-Jun,Traffic,75+,383,3871,NSW
2018,Jan-Jun,Traffic,8-16,281,908,NSW
2018,Jan-Jun,Traffic,0-7,126,243,Vic
2018,Jan-Jun,Traffic,17-25,1182,4557,Vic
2018,Jan-Jun,Traffic,26-39,1526,6363,Vic
2018,Jan-Jun,Traffic,40-64,1961,11865,Vic
2018,Jan-Jun,Traffic,65-74,449,4029,Vic
2018,Jan-Jun,Traffic,75+,381,4608,Vic
2018,Jan-Jun,Traffic,8-16,276,666,Vic
2018,Jan-Jun,Traffic,0-7,92,224,Qld
2018,Jan-Jun,Traffic,17-25,963,3041,Qld
2018,Jan-Jun,Traffic,26-39,1100,4082,Qld
2018,Jan-Jun,Traffic,40-64,1514,6943,Qld
2018,Jan-Jun,Traffic,65-74,303,2584,Qld
2018,Jan-Jun,Traffic,75+,236,2351,Qld
2018,Jan-Jun,Traffic,8-16,339,650,Qld
2018,Jan-Jun,Traffic,0-7,38,215,WA
2018,Jan-Jun,Traffic,17-25,317,1100,WA
2018,Jan-Jun,Traffic,26-39,416,2030,WA
2018,Jan-Jun,Traffic,40-64,543,2420,WA
2018,Jan-Jun,Traffic,65-74,105,1070,WA
2018,Jan-Jun,Traffic,75+,85,737,WA
2018,Jan-Jun,Traffic,8-16,135,355,WA
2018,Jan-Jun,Traffic,0-7,23,172,SA
2018,Jan-Jun,Traffic,17-25,229,1110,SA
2018,Jan-Jun,Traffic,26-39,263,1317,SA
2018,Jan-Jun,Traffic,40-64,421,2140,SA
2018,Jan-Jun,Traffic,65-74,102,816,SA
2018,Jan-Jun,Traffic,75+,89,688,SA
2018,Jan-Jun,Traffic,8-16,89,244,SA
2018,Jan-Jun,Traffic,0-7,n.p.,n.p.,Tas
2018,Jan-Jun,Traffic,17-25,80,401,Tas
2018,Jan-Jun,Traffic,26-39,71,231,Tas
2018,Jan-Jun,Traffic,40-64,132,716,Tas
2018,Jan-Jun,Traffic,65-74,38,196,Tas
2018,Jan-Jun,Traffic,75+,n.p.,n.p.,Tas
2018,Jan-Jun,Traffic,8-16,22,46,Tas
2018,Jan-Jun,Traffic,0-7,9,17,ACT
2018,Jan-Jun,Traffic,17-25,62,229,ACT
2018,Jan-Jun,Traffic,26-39,92,263,ACT
2018,Jan-Jun,Traffic,40-64,142,379,ACT
2018,Jan-Jun,Traffic,65-74,24,134,ACT
2018,Jan-Jun,Traffic,75+,22,171,ACT
2018,Jan-Jun,Traffic,8-16,17,52,ACT
2018,Jan-Jun,Traffic,0-7,n.p.,n.p.,NT
2018,Jan-Jun,Traffic,17-25,105,428,NT
2018,Jan-Jun,Traffic,26-39,138,905,NT
2018,Jan-Jun,Traffic,40-64,116,429,NT
2018,Jan-Jun,Traffic,65-74,7,66,NT
2018,Jan-Jun,Traffic,75+,n.p.,n.p.,NT
2018,Jan-Jun,Traffic,8-16,38,232,NT
2018,Jul-Dec,Traffic,0-7,67,478,NSW
2018,Jul-Dec,Traffic,17-25,966,6193,NSW
2018,Jul-Dec,Traffic,26-39,1130,4581,NSW
2018,Jul-Dec,Traffic,40-64,1634,10953,NSW
2018,Jul-Dec,Traffic,65-74,401,3738,NSW
2018,Jul-Dec,Traffic,75+,398,4912,NSW
2018,Jul-Dec,Traffic,8-16,281,1021,NSW
2018,Jul-Dec,Traffic,0-7,102,346,Vic
2018,Jul-Dec,Traffic,17-25,1129,4844,Vic
2018,Jul-Dec,Traffic,26-39,1336,5795,Vic
2018,Jul-Dec,Traffic,40-64,1819,10981,Vic
2018,Jul-Dec,Traffic,65-74,451,3618,Vic
2018,Jul-Dec,Traffic,75+,414,5274,Vic
2018,Jul-Dec,Traffic,8-16,301,655,Vic
2018,Jul-Dec,Traffic,0-7,112,169,Qld
2018,Jul-Dec,Traffic,17-25,1098,3386,Qld
2018,Jul-Dec,Traffic,26-39,1186,4153,Qld
2018,Jul-Dec,Traffic,40-64,1538,6160,Qld
2018,Jul-Dec,Traffic,65-74,318,1967,Qld
2018,Jul-Dec,Traffic,75+,250,2399,Qld
2018,Jul-Dec,Traffic,8-16,332,730,Qld
2018,Jul-Dec,Traffic,0-7,38,222,WA
2018,Jul-Dec,Traffic,17-25,310,934,WA
2018,Jul-Dec,Traffic,26-39,392,1862,WA
2018,Jul-Dec,Traffic,40-64,568,2139,WA
2018,Jul-Dec,Traffic,65-74,112,468,WA
2018,Jul-Dec,Traffic,75+,91,1065,WA
2018,Jul-Dec,Traffic,8-16,124,463,WA
2018,Jul-Dec,Traffic,0-7,13,75,SA
2018,Jul-Dec,Traffic,17-25,253,1150,SA
2018,Jul-Dec,Traffic,26-39,309,970,SA
2018,Jul-Dec,Traffic,40-64,432,2577,SA
2018,Jul-Dec,Traffic,65-74,78,533,SA
2018,Jul-Dec,Traffic,75+,98,615,SA
2018,Jul-Dec,Traffic,8-16,90,251,SA
2018,Jul-Dec,Traffic,0-7,8,10,Tas
2018,Jul-Dec,Traffic,17-25,84,646,Tas
2018,Jul-Dec,Traffic,26-39,90,635,Tas
2018,Jul-Dec,Traffic,40-64,134,789,Tas
2018,Jul-Dec,Traffic,65-74,31,380,Tas
2018,Jul-Dec,Traffic,75+,30,299,Tas
2018,Jul-Dec,Traffic,8-16,32,66,Tas
2018,Jul-Dec,Traffic,0-7,5,7,ACT
2018,Jul-Dec,Traffic,17-25,81,201,ACT
2018,Jul-Dec,Traffic,26-39,79,501,ACT
2018,Jul-Dec,Traffic,40-64,106,434,ACT
2018,Jul-Dec,Traffic,65-74,26,147,ACT
2018,Jul-Dec,Traffic,75+,27,362,ACT
2018,Jul-Dec,Traffic,8-16,20,87,ACT
2018,Jul-Dec,Traffic,0-7,12,23,NT
2018,Jul-Dec,Traffic,17-25,116,915,NT
2018,Jul-Dec,Traffic,26-39,118,748,NT
2018,Jul-Dec,Traffic,40-64,125,999,NT
2018,Jul-Dec,Traffic,65-74,14,204,NT
2018,Jul-Dec,Traffic,75+,7,80,NT
2018,Jul-Dec,Traffic,8-16,28,127,NT
2019,Jan-Jun,Traffic,0-7,71,621,NSW
2019,Jan-Jun,Traffic,17-25,1015,5852,NSW
2019,Jan-Jun,Traffic,26-39,1134,5419,NSW
2019,Jan-Jun,Traffic,40-64,1710,10582,NSW
2019,Jan-Jun,Traffic,65-74,383,3630,NSW
2019,Jan-Jun,Traffic,75+,393,4952,NSW
2019,Jan-Jun,Traffic,8-16,283,1013,NSW
2019,Jan-Jun,Traffic,0-7,99,327,Vic
2019,Jan-Jun,Traffic,17-25,1189,6164,Vic
2019,Jan-Jun,Traffic,26-39,1525,6474,Vic
2019,Jan-Jun,Traffic,40-64,1973,10005,Vic
2019,Jan-Jun,Traffic,65-74,434,2863,Vic
2019,Jan-Jun,Traffic,75+,388,4096,Vic
2019,Jan-Jun,Traffic,8-16,295,740,Vic
2019,Jan-Jun,Traffic,0-7,85,267,Qld
2019,Jan-Jun,Traffic,17-25,963,2925,Qld
2019,Jan-Jun,Traffic,26-39,1091,4215,Qld
2019,Jan-Jun,Traffic,40-64,1585,6803,Qld
2019,Jan-Jun,Traffic,65-74,349,2410,Qld
2019,Jan-Jun,Traffic,75+,246,1834,Qld
2019,Jan-Jun,Traffic,8-16,324,708,Qld
2019,Jan-Jun,Traffic,0-7,51,112,WA
2019,Jan-Jun,Traffic,17-25,288,1146,WA
2019,Jan-Jun,Traffic,26-39,419,1909,WA
2019,Jan-Jun,Traffic,40-64,585,3295,WA
2019,Jan-Jun,Traffic,65-74,117,761,WA
2019,Jan-Jun,Traffic,75+,94,1032,WA
2019,Jan-Jun,Traffic,8-16,125,247,WA
2019,Jan-Jun,Traffic,0-7,27,49,SA
2019,Jan-Jun,Traffic,17-25,240,916,SA
2019,Jan-Jun,Traffic,26-39,281,1073,SA
2019,Jan-Jun,Traffic,40-64,409,1792,SA
2019,Jan-Jun,Traffic,65-74,113,572,SA
2019,Jan-Jun,Traffic,75+,69,641,SA
2019,Jan-Jun,Traffic,8-16,82,179,SA
2019,Jan-Jun,Traffic,0-7,8,10,Tas
2019,Jan-Jun,Traffic,17-25,94,360,Tas
2019,Jan-Jun,Traffic,26-39,81,739,Tas
2019,Jan-Jun,Traffic,40-64,114,960,Tas
2019,Jan-Jun,Traffic,65-74,29,164,Tas
2019,Jan-Jun,Traffic,75+,34,292,Tas
2019,Jan-Jun,Traffic,8-16,28,56,Tas
2019,Jan-Jun,Traffic,0-7,n.p.,n.p.,ACT
2019,Jan-Jun,Traffic,17-25,71,302,ACT
2019,Jan-Jun,Traffic,26-39,95,305,ACT
2019,Jan-Jun,Traffic,40-64,120,437,ACT
2019,Jan-Jun,Traffic,65-74,29,132,ACT
2019,Jan-Jun,Traffic,75+,n.p.,n.p.,ACT
2019,Jan-Jun,Traffic,8-16,29,37,ACT
2019,Jan-Jun,Traffic,0-7,n.p.,n.p.,NT
2019,Jan-Jun,Traffic,17-25,93,510,NT
2019,Jan-Jun,Traffic,26-39,98,438,NT
2019,Jan-Jun,Traffic,40-64,81,486,NT
2019,Jan-Jun,Traffic,65-74,12,87,NT
2019,Jan-Jun,Traffic,75+,n.p.,n.p.,NT
2019,Jan-Jun,Traffic,8-16,20,30,NT
2019,Jul-Dec,Traffic,0-7,78,310,NSW
2019,Jul-Dec,Traffic,17-25,935,4633,NSW
2019,Jul-Dec,Traffic,26-39,1106,5067,NSW
2019,Jul-Dec,Traffic,40-64,1647,10450,NSW
2019,Jul-Dec,Traffic,65-74,453,3882,NSW
2019,Jul-Dec,Traffic,75+,434,5623,NSW
2019,Jul-Dec,Traffic,8-16,300,964,NSW
2019,Jul-Dec,Traffic,0-7,84,214,Vic
2019,Jul-Dec,Traffic,17-25,996,5510,Vic
2019,Jul-Dec,Traffic,26-39,1369,4974,Vic
2019,Jul-Dec,Traffic,40-64,1865,10003,Vic
2019,Jul-Dec,Traffic,65-74,453,4176,Vic
2019,Jul-Dec,Traffic,75+,416,4397,Vic
2019,Jul-Dec,Traffic,8-16,306,1066,Vic
2019,Jul-Dec,Traffic,0-7,80,169,Qld
