calendar year,6-monthly,cause of injury = traffic,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2017,Jul-Dec,Traffic,1081,6853,SA
2017,Jul-Dec,Traffic,321,2340,Tas
2017,Jul-Dec,Traffic,295,1435,ACT
2017,Jul-Dec,Traffic,407,2330,NT
2018,Jan-Jun,Traffic,4917,27648,NSW
2018,Jan-Jun,Traffic,5901,32331,Vic
2018,Jan-Jun,Traffic,4547,19875,Qld
2018,Jan-Jun,Traffic,1639,7927,WA
2018,Jan-Jun,Traffic,1216,6487,SA
2018,Jan-Jun,Traffic,372,1851,Tas
2018,Jan-Jun,Traffic,368,1245,ACT
2018,Jan-Jun,Traffic,412,2182,NT
2018,Jul-Dec,Traffic,4877,31876,NSW
2018,Jul-Dec,Traffic,5552,31513,Vic
2018,Jul-Dec,Traffic,4834,18964,Qld
2018,Jul-Dec,Traffic,1635,7153,WA
2018,Jul-Dec,Traffic,1273,6171,SA
2018,Jul-Dec,Traffic,409,2825,Tas
2018,Jul-Dec,Traffic,344,1739,ACT
2018,Jul-Dec,Traffic,420,3096,NT
2019,Jan-Jun,Traffic,4989,32069,NSW
2019,Jan-Jun,Traffic,5903,30669,Vic
2019,Jan-Jun,Traffic,4643,19162,Qld
2019,Jan-Jun,Traffic,1679,8502,WA
2019,Jan-Jun,Traffic,1221,5222,SA
2019,Jan-Jun,Traffic,388,2581,Tas
2019,Jan-Jun,Traffic,362,1371,ACT
2019,Jan-Jun,Traffic,320,1730,NT
2019,Jul-Dec,Traffic,4953,30929,NSW
2019,Jul-Dec,Traffic,5489,30340,Vic
2019,Jul-Dec,Traffic,4872,21027,Qld
2019,Jul-Dec,Traffic,1855,9320,WA
2019,Jul-Dec,Traffic,1236,5581,SA
2019,Jul-Dec,Traffic,320,1499,Tas
2019,Jul-Dec,Traffic,303,1433,ACT
2019,Jul-Dec,Traffic,336,2079,NT
2020,Jan-Jun,Traffic,4191,25906,NSW
2020,Jan-Jun,Traffic,5030,27014,Vic
2020,Jan-Jun,Traffic,4287,17468,Qld
2020,Jan-Jun,Traffic,1704,9141,WA
2020,Jan-Jun,Traffic,1171,6096,SA
2020,Jan-Jun,Traffic,328,1373,Tas
2020,Jan-Jun,Traffic,286,1454,ACT
2020,Jan-Jun,Traffic,322,1482,NT
2020,Jul-Dec,Traffic,5083,32465,NSW
2020,Jul-Dec,Traffic,4854,20923,Vic
2020,Jul-Dec,Traffic,5514,20382,Qld
2020,Jul-Dec,Traffic,1932,9647,WA
2020,Jul-Dec,Traffic,1332,6084,SA
2020,Jul-Dec,Traffic,450,2109,Tas
2020,Jul-Dec,Traffic,343,1083,ACT
2020,Jul-Dec,Traffic,465,1985,NT
2021,Jan-Jun,Traffic,5005,31124,NSW
2021,Jan-Jun,Traffic,5921,29551,Vic
2021,Jan-Jun,Traffic,5127,20810,Qld
2021,Jan-Jun,Traffic,1800,10554,WA
2021,Jan-Jun,Traffic,1337,6058,SA
2021,Jan-Jun,Traffic,422,2842,Tas
2021,Jan-Jun,Traffic,441,1636,ACT
2021,Jan-Jun,Traffic,348,1620,NT
2021,Jul-Dec,Traffic,3998,23974,NSW
2021,Jul-Dec,Traffic,5209,25148,Vic
2021,Jul-Dec,Traffic,5320,20079,Qld
2021,Jul-Dec,Traffic,1768,11734,WA
2021,Jul-Dec,Traffic,1295,5794,SA
2021,Jul-Dec,Traffic,383,2018,Tas
2021,Jul-Dec,Traffic,299,1103,ACT
2021,Jul-Dec,Traffic,362,2453,NT
